[1:00:01] OpieTelford: ซื้อแล้วไม่ใช่หราาาา
[1:00:03] keng418: เอาาาาลถงงง
[1:00:04] phethahe: สวยจริง
[1:00:04] THE271: กล่าวถึงลุง
[1:00:05] sixdriver22: ของมันคู่กันลุง5555
[1:00:05] nanoregency: ต้องป๋าโจ
[1:00:07] praewa__: เห็นแล้วนีกถึงพี่แว่น
[1:00:08] dasosa_itty: ซิง
[1:00:08] AloneZ_3012: สวยเกินนนน
[1:00:09] charlotte20005: ซิง
[1:00:09] WaTzTeeRaWaT: วีสเป็คเน้อ💙💙💙
[1:00:09] i_kuyy: gtt แปลง gtr ก็สวยล่ะ ขับชิวๆ
[1:00:09] svjboyd: จริงๆ
[1:00:10] nongoat9140: ลุงไม่สนเล่น อีโว มั้งหรอครับบบบบบบบบ
[1:00:11] preamo_o: ซิง
[1:00:11] 1sert23: ผมมีทะเบียน35นะครับลุง
[1:00:12] hamdamnahkap: ไอดล
[1:00:14] sirayuhbeat: 5555++
[1:00:14] dabkumfew: จริง
[1:00:15] wiraphat_2208: ซิง
[1:00:15] piriyapat_: อันบนฮาๆ
[1:29:10] bungterng13: รวยรวย
[1:29:10] srichai23: รวยสุดๆ
[1:29:10] snackjaxck: รวยนน
[1:29:10] a2k9ic: 555
[1:29:10] Triceratop19: เปิดอีกรอบ
[1:29:10] staxsrw_: จนเลย
[1:29:10] oarmeiei: 5555
[1:29:11] icebear1998_: อิมๆ
[1:29:11] piyawatnakkruda: รวย
[1:29:11] yggdrass_19: รวยยย
[1:29:11] d7nk: มันลงพนันยังไงหรอครับ
[1:29:11] Doraemon0299g: รวย
[1:29:11] KEenSDoi: รวย
[1:29:11] BabyTable_: รวยๆๆๆ
[1:29:11] arnon12a: 5555
[1:29:11] dullahan191019: รวย
[1:29:12] naprajak007: รวยยยย
[1:29:12] plxysxsad99: รวยๆ
[1:29:12] titiarale: ดีนะลงทักรี่
[1:29:12] kkaimookmybabe: สวนร้องไห้เเปบ
[1:29:12] thitiwatbb: รวย
[1:29:12] rachanon3: แต้มฟรี
[1:29:13] pxxyhub: เกินไป55555555
[1:29:13] charlchanoks: อิ่มๆจ้าาาา
[1:29:13] PHANUPHONG2992546: จ่ายก่อนนนน
[1:29:14] jittijoe: รวย
[1:29:14] stxvenssr_: รวย
[1:29:15] uefaaaaa: หมดตัว
[1:29:15] Hua_Hom_: 55555
[1:29:15] ponjub62: HeyGuys
[1:29:15] babybel_mu: 5555555
[1:29:15] THIPPLEX: 85-15เอาอะไรมารวย StinkyGlitch
[1:29:15] qssllssq: รวย
[1:29:16] bbankbz: มันโปร55555555
[1:29:16] supakit2133: ชิว
[1:29:16] sunday_1234: รวยยยยย
[1:29:17] hlg420: แต้มฉ้านนนนน
[1:29:18] jaja1602: รวยๆ
[1:29:18] nampoo180: วิ่งเป็นล้าน
[1:29:19] funnyyTH: เอ้าทำไมพนันไม่ขึ้น
[1:29:19] 070per: ห้ะ
[1:29:19] uknowmick: 555
[1:29:19] bemybaconnn: รับเงินชิวๆ
[1:29:20] teerunsan55: รวย
[1:29:20] pratya_pup: รวยๆๆๆๆๆๆๆๆ
[1:29:21] notny007: ลุงแพ้555
[1:29:22] boom0129: ขับ3 รุ่นไรนิ555
[1:29:24] AhaNPC: All in
[1:29:24] 6ixzax: ชิวๆเลย
[1:29:26] tantine98: รย
[1:29:26] winner_ntp: รวยละ
[1:29:26] bixxp: รักทักลี่5555
[1:29:26] IT_itTItiIT: 555555555555555555555
[1:29:29] zeetar_u: มาวะ
[1:29:29] opapikaa: รวยตรงไหนวะ55555
[1:29:29] BABYFLUKEKY420: ดีนะแทงแค่50k
[1:29:30] SirenCooper: ทำไมลงแล้วไม่ได้ครับ
[1:29:30] slationssss: 55555555
[1:29:30] dodolnwza007: เราได้แต้มละช้ะ
[1:29:31] arshiwynternelboy: 555555555555555
[1:29:32] jdaikabb: 5555
[1:29:32] popularjubjub: ม่ายยยยย
[1:29:33] intrude99: รวย
[1:29:33] phaitomtube: ไอทัก555
[1:29:33] nickz247: 555555555
[1:29:33] netchanok26: rebirthztvHoldem
[1:29:34] meaningless_12: 5555555
[1:29:34] best_kst: 5555555555555555555
[1:29:34] neverloseqz: 55555555
[1:29:34] makkarone_aventadorv2eiei: 5555
[1:29:35] REALxLIFE_XD: 5555555
[1:29:35] ZeromosX: 55555
[1:29:35] YongzoX: ชิว
[1:29:36] pa9hapashu: 5555555555
[1:29:36] khawoat_srp: Kappa VoHiYo
[1:29:36] game_natchapol: 5555
[1:29:36] Autkung5K: สวย5555
[1:29:36] champnaja_: เอ้า
[1:29:36] beam_050: 555555555555
[1:29:36] six698: 555555555
[1:29:37] few_dx: rebirthztvAceJunior
[1:29:38] sdluckygas: เอาวะ
[1:29:39] Ethan_gg125: อ่าว55555
[1:29:40] PSUSNOI: BibleThump
[1:29:40] svjboyd: ทักลี่เห้ยยยย5555
[1:29:40] ImyourSmart: -1
[1:29:40] picnicc_: 555555555
[1:29:40] jtsoyclhciyoyupc: เอ้า
[1:29:41] 21millions: 555555555
[1:29:41] kwanmint3: เอ้า
[1:29:41] onceee_: 55555555555555
[1:29:41] goeza_007: 55555555
[1:29:41] MIckEY_SmiTH1: หัวเราะทีหลังดังกว่า 55555555
[1:29:41] time_5555: เอ้า
[1:29:41] MabOnnie: สวยๆๆ
[1:29:41] fullmoon_21: อีกรอบ
[1:29:42] JAYB0YD: เอ้า
[1:29:42] bugpop08: หมดกันแนแต้ม
[1:29:42] toby_ming: เสมอ
[1:29:42] khobeone: ดีนะลงแค่ 60k
[1:29:42] p1chys: แต้มฉัน
[1:29:42] suwinpat: รวย
[1:29:42] jonexio: 5555555
[1:29:42] onigirijr7: เสมอๆๆ
[1:29:43] kenkungggg: สวนรวย
[1:29:43] nongkrapatakui: ทักลี่เห้ยยยยยยย
[1:29:43] polecod: โกงงงง
[1:29:43] bbeamzx_: ไม่
[1:29:44] ad_nic3: มาดิ
[1:29:44] hanaka00: 5555 ชิวๆ
[1:29:44] hibari1412: เห้ยๆ
[1:29:44] bebell____: เอ้าาา
[1:29:44] moreiei: 555
[1:29:44] duekkdj: เอ้า
[1:29:44] guy_2565: rebirthztvTadaeng
[1:29:45] martinmarjai: อ่าวเห้ย55555555
[1:29:45] mint_mintny: เอ้า
[1:29:45] HighM4rk: 555555555
[1:29:45] hi03182: BibleThump BibleThump BibleThump
[1:29:45] LilSmoke_5: มาดิ55555555555555
[1:29:46] toongt: รวย
[1:29:46] Amaj9: รอบแรกชนะหนิ ไม่รับ ถือว่าชนะ
[1:29:46] inumaki_haha: หมด
[1:29:46] jkrowling48: เสมอๆ
[1:29:46] XENIA_XJP: คอมไอบอลจะพัง5555555
[1:29:47] jacob_njbsp: เอ้าๆๆๆๆๆ
[1:29:47] tian_q: หาย
[1:29:47] xnineny: เสมออ
[1:29:47] huhuhuuuuuuuu: ยกๆๆ
[1:29:48] mynameistang46: เอ้า555555
[1:29:48] nkpnoop: รวย
[1:29:48] poomlike: ม่ายยยย
[1:29:49] mreeee155: ..
[1:29:49] m0km0s: เสมอๆ
[1:29:50] allnew666: คดีผลิก555
[1:29:50] 18kk8: 5555
[1:29:50] wanchana_z: โกงง555
[1:29:50] fabulossz: เรียบๆๆๆ
[1:29:50] cupid_boo08: เสมอๆ
[1:29:50] irewkonlotae_: ให้อุ้ม 20 เคสเลย
[1:29:50] potatochip2588: สวยๆ
[1:29:50] gggggswag: rebirthztvB
[1:29:50] pxxm2005_gg: เอ้า
[1:29:51] gameover2502: เราได้แล้วดิ่
[1:29:51] Abyssces: 1-1
[1:29:51] aekkarin05: เสมอดิ
[1:29:51] arisa_112: ทักลี่เห้ย55555
[1:29:52] mondoraz: แย่ละ
[1:29:52] racker49631: ทักลี่
[1:29:52] Rlnderlng: เสมอ
[1:29:52] sawatdeekubbbbb: เสมอ 1-1 555
[1:29:52] oak161: หมด
[1:29:53] amd_intel001: ม่ายยยย
[1:29:53] man_kittipoom: ยกกกกกกกกกกกกกก
[1:29:53] th0988: FootYellow FootYellow FootYellow
[1:29:53] knpkloma: กูเสีย
[1:29:53] tedde121: มาสยยย
[1:29:53] pianoo000: จบละ
[1:29:53] pho_pee: เสมอ
[1:29:53] blueopuz: เสมอ
[1:29:53] bullettimez: รวยๆ
[1:29:55] nxttxzr: อีกรอบ!!!!!
[1:29:55] xDARKzTH: ...
[1:29:55] lekkiilcv: โกงๆ
[1:29:55] nonty11: รวยๆๆ
[1:29:55] Fox115000: ชิบหานละ
[1:29:55] viewmosbacher: 5555
[1:29:56] wazy_wtp: รวยยยยยยยยยย
[1:29:56] saende446: 55555
[1:29:56] dachachai989: เสมอดิงี้
[1:29:56] prachkub: 1-1
[1:29:56] thanathip_4: เสมอ
[1:29:56] kong2536: หมดตัวละนธะะะ
[1:29:56] BIWyaniz: เสม ออออออ
[1:29:56] khueanphetr: 555
[1:29:57] jiramet_janta: เสมอออออ
[1:29:57] PHANUPHONG2992546: เสมอๆๆๆ
[1:29:57] channarong7: S
[1:29:57] paniaramaiket: ม่ายยยยยย
[1:29:57] toomnoonnok: รวยยยยยยยยยยยยยยยยยยยยยยย
[1:29:57] jjopprt: ววสสสวบ
[1:29:57] arnus_kj: เสมอ
[1:29:57] AhaNPC: ม่ายยยยยยยยยยยยยยยยยยยย
[1:29:57] hut2332: เสมอ
[1:29:57] Btackhote: 555555555555554544
[1:29:58] bequietth: อย่าาานะ
[1:29:58] Leo_Nighttpondd: 555
[1:29:58] nopparitnopparit: 5555
[1:29:58] twwqq: หมด
[1:29:58] bkorawit: ม่ายยย
[1:29:58] non7666: เสมอ
[1:29:58] spk_2000: เสมอออ
[1:29:59] Hua_Hom_: 55555
[1:29:59] gameinw153: 1-1
[1:29:59] RANGSIMA12: เสมอ
[1:29:59] sirapoop06: ไม่
[1:29:59] sixdriver22: รวยๆๆๆๆๆๆๆๆๆๆๆ
[1:29:59] jaetsadakorn: เสมอ
[1:29:59] srichai23: เสมอๆ
[1:29:59] boonaon2003: ยกลุง555
[1:29:59] pleumkun: เทพชนเทพ
[1:29:59] earthdpdp: เสมอออ
[1:29:59] K3nNicolai: 5555
[1:29:59] kitzx_x: 55555
[1:29:59] tnt_kk: ม่ายยยยยยยยยย
[1:29:59] bestx200: หมดตัว
[1:30:00] ogiV_: รวย
[1:30:00] tiger_j4tg: เสมอ
[1:30:00] kiasoyed: เสมออออออออออออออออออออออออออ
[1:30:00] baby_yok: รอบแรกสิ555
[1:30:00] zeetar_u: เย้ รวยยยยยย
[1:30:00] malee_swymak: อะไรเราชนะแล้ว
[1:30:00] lukakishix2: เสมอ
[1:30:01] loshahaha: 5555555
[1:30:01] aphichet6255: จบและ5555
[1:30:01] pakpoom_poon: 555
[1:30:02] aikax2: ไม่เอาาาาา555555
[1:30:02] name809: 555
[1:30:02] tateep: เสมอๆๆๆๆ
[1:30:02] idew2200z: เเอดมินกด alt วิ้ง1000+ 5555
[1:30:02] tap300450: หมด
[1:30:02] khinglikeyme: 5555555
[1:30:02] 070per: สวยยย
[1:30:03] BoonFixz: เสมอ เอาอีกรอบ 55555555555555555555555555\
[1:30:03] mre_mannnnnn: เทพชนเทพ
[1:30:04] xluix: 555555555555
[1:30:04] sirayuhbeat: 5555
[1:30:04] twotone3: หูย
[1:30:04] AUMMMMMMM_: รอบตัดสิน
[1:30:04] bookllkza101: rebirthztvTueng
[1:30:04] arshiwynternelboy: 5555555555555555555
[1:30:04] domza042: 55555555555555
[1:30:05] EAST_BOO: เสมอ
[1:30:05] susie_dodie: 555
[1:30:05] TONKLA_SAENDEE: ซวย
[1:30:05] geegyboizzz: 55555555
[1:30:05] hades66gamelive: 1-1
[1:30:05] TawBoss_: 55555555555555555
[1:30:06] nonsnook26: 55555555
[1:30:06] SirenCooper: 555555555
[1:30:06] kantron: โกงแล้ววลุง
[1:30:06] REALxLIFE_XD: 555555555555
[1:30:06] artee_2004: 555555
[1:30:06] sobchai22: 5555
[1:30:06] NoBitahub: 555555555555555555555555
[1:30:06] 6dvcks: 5555555555555555
[1:30:06] aaaatttttoooommmm: ....
[1:30:06] SharkReversez: 555555555555555555555555
[1:30:06] CalllayifYoulost: 555555555555
[1:30:06] AGUSTD20: LUL
[1:30:06] sword_rbz_isnoob: rebirthztvLucas rebirthztvLucas LUL
[1:30:06] omeawam0: rebirthztvHa rebirthztvHa
[1:30:06] 0960247105: รวยครับ
[1:30:07] nuta11: 5555555
[1:30:07] 42OOG_: งืมม
[1:30:07] beam_050: 5555555555555
[1:30:07] realbpct: 5555
[1:30:07] Arttimz: 55555555555555
[1:30:07] thanakrit116: rebirthztvHa rebirthztvHa
[1:30:07] crommez: 5555555
[1:30:07] earn_carrot: ศึกของเทพ
[1:30:07] Limitttttt1: มาดิ5555555
[1:30:07] Stamp0102: 5555555555555555555555555555555
[1:30:08] i_am_wedday: 555555555
[1:30:08] meenblackji: หาย
[1:30:08] say______ii: 55555555555555555555
[1:30:08] layil_: ทักลี่น่าจะวิ่งพันกว่าๆอะ555
[1:30:08] newpy_: โกงงงงงง
[1:30:08] pa9hapashu: 5555555555555555555
[1:30:08] punpanlvp: 55555
[1:30:08] tommie46: 555555555555555
[1:30:08] さめ11: 855555
[1:30:08] beam_13114: 55555555555555555
[1:30:09] SKXKOOL: รวยแล้ว
[1:30:09] uppiess: 55555
[1:30:09] Kekeopop: 5555
[1:30:09] tonnam_999: ตกใจ
[1:30:09] mickk898: 5555555555555
[1:30:09] nickz247: 55555555
[1:30:09] oomisterpeteoo: ไม่
[1:30:09] paraborax: 5555555555555555+
[1:30:09] Apologizezi: 555555555555555455
[1:30:09] pillapat_tax: เสมอๆ
[1:30:09] bduxhcuh: เสมอๆๆ
[1:30:09] tumo007: rebirthztvHa rebirthztvHa
[1:30:10] tanaphat_z: 555
[1:30:10] Winchester_TW: 55555
[1:30:10] khundomenaja: 55555
[1:30:10] poom_siripoom: สวย
[1:30:10] wanchalerm__: หมดเต็มที่สะสมมา GlitchLit GlitchLit
[1:30:10] artifactzzzz: 55555555555555555
[1:30:10] Kong_surachet: 55555
[1:30:10] pond25102548: 55555555555555
[1:30:10] LeOn_MMIII: โห555555555
[1:30:10] no_name_ku_: 55555555
[1:30:10] bearbearbearmp: 555555555555+
[1:30:10] kjjccc: 555555
[1:30:10] sweets__2: 55555555555555555555555555
[1:30:10] DY_ANUCHIT: 5555555
[1:30:11] ga_nathaniel: 55555555
[1:30:11] watcharaphol2003: ้555555555555555
[1:30:11] picnicc_: 5555555555555555555555555555
[1:30:11] ta3cha: 55555
[1:30:11] ur_iz_en: 55555
[1:30:12] pumba_pds: 5555555555
[1:30:12] lelouch_0: 555555555555555555555
[1:30:12] WTFmimi: 555555555555555555
[1:30:12] torzaa35: 5545
[1:30:12] nxeyy__: 55555555
[1:30:12] ChinnawatCH: 555555555
[1:30:12] noob_player1199: รวยยยย
[1:30:12] meemamaikaa: LUL
[1:30:12] karukung: 55555555
[1:30:12] ppluckz: ตัดสินๆ
[1:30:12] p1chys: 5555555555555555555555555
[1:30:13] hlg420: เทพvsเทพ
[1:30:13] beamsamurai: 55555
[1:30:13] anan_kill: 555555
[1:30:13] jedaizz: 555555555555555555555
[1:30:13] racid_h2o: 555555555
[1:30:13] TaokaeBeer: จัดไป
[1:30:13] rockeyy99: ปิดตำนานรถไถ
[1:30:13] eaude_parfum: 555555555555555
[1:30:14] magnum_093: แรงจัด555555
[1:30:14] view_55555: ตัวกระเด็นเลย 55
[1:30:14] Kaitomaruu: เสมอนะๆ
[1:30:14] ballbolt: 1-1
[1:30:14] email000: ยกโต๊ะ
[1:30:14] Ba_PaW: เสมอไปดิ
[1:30:14] jet_go: 5555555555555555
[1:30:14] graf1930: 5555555
[1:30:15] faceee111: เสมอ
[1:30:15] kim_thanapon: 5555555⁵555555
[1:30:15] four4june: จิงเหมือนเทพสู้กัน
[1:30:15] karikyosan: เทพกับปัศาจ
[1:30:15] bbaskkwp: 555555555555
[1:30:15] phonthipaxxrt: 555555555
[1:30:15] svjboyd: อีกรอบๆๆๆ
[1:30:16] jeff_zyy: SeemsGood
[1:30:16] nathan_qnx: 555555555555
[1:30:16] tarrinn: เยี่ยม
[1:30:16] katay_x: 55555555555555555
[1:30:16] danuponn_: รวย
[1:30:16] yurina_39: 5555
[1:30:17] sawaphatlatakua: 5555566
[1:30:17] nignpee: 55555
[1:30:17] junggo45: 55
[1:30:17] Myarz: มันเดอะแฟลชกับ ซุปเปอแมนแล้ว
[1:30:17] PhuwaDon4444: เทพR35 VS เทพรถไถ่
[1:30:17] mynameistang46: พวกเราได้555555
[1:30:18] kan_77: ย้างกะสายห้า
[1:30:18] nonxr11: SeemsGood
[1:30:18] onigirijr7: เสมออ
[1:30:18] stephenchairty007: 555555555
[1:30:18] Janette_l: ทักลี่!!!!
[1:30:18] xnineny: เสมอออ
[1:30:18] flukefixe45: วาปจัด555
[1:30:18] phumiphat_04: เสมอๆ
[1:30:18] axbeby: ดีนะไม่ได้ลงถ้าลงนี้เสียหลดเลยเด้้้
[1:30:19] winner_ntp: 55
[1:30:19] boymg00: วาปมา5555
[1:30:19] Juddtop: 5555555555555555555555555555
[1:30:19] flukfluk123zaza: 55555
[1:30:19] pech1202: ไม่นะคถะแนนฉ้านนนนน
[1:30:19] ad_nic3: มาดิ
[1:30:21] phaitomtube: อีกรอบๆ555
[1:30:21] donut_pzh: รวย
[1:30:21] nonza758: ปิ้ววว
[1:30:21] xzskdl_tlto: 55555
[1:30:21] jakkajimaika: ทีเดียวดับ
[1:30:22] sayhi_v: ตกใจเลยอะ
[1:30:22] mondoraz: เสมอ
[1:30:22] kong0silver: เรียบฮะ55555
[1:30:22] worachet0639707134: 555555555555555
[1:30:23] PSUSNOI: 311mอะ555
[1:30:24] outl5: 555
[1:30:24] naju9996: ม่ายยยย
[1:30:24] tedde121: เสมอ
[1:30:24] dagoma555: 555555
[1:30:24] nasruddin2548: หลอดครับลุง
[1:30:26] pratchanon: เข็มขัดก็เอาไม่อยู่55555555
[1:30:26] dag_jak: อาหาร
[1:30:26] loma191: 555555
[1:30:26] pooheieikiki: 55555
[1:30:26] worinbbb: อิ่ม
[1:30:26] patcharapatsookhom084: 5555
[1:30:27] shocker_p: อย่า
[1:30:27] fifaktp: ปิ้ววว
[1:30:27] khxwklxng: 5555555
[1:30:27] adisak18: จบ555
[1:30:28] waali_zeexxx: ทักลี่
[1:30:28] chocobo__p: 1-1
[1:30:28] prazadinz0z: 555555555555
[1:30:29] AhaNPC: ม่ายยยยยยยยยยยยยยยยยยยย
[1:30:30] hadez_01: บังบอลคอมพัง
[1:30:31] koonuuuu: เอิ่มมม
[1:30:32] bixxp: 5555555
[1:30:32] n1c3try_: ไม่ๆๆ. 30k แต้มมมม
[1:30:35] shr_ss: ตัดสินๆ
[1:30:35] aimusic122961: rebirthztvTewHothead
[1:30:36] wertyuiopwww: เสมอของคืนครับ
[1:30:36] SirenCooper: ทักลี่เจ้าของรถไถที่แรงที่สุดในโลก
[1:30:36] chickenwingz17: เสมอ
[1:30:37] kiwwwwwkiw: 55555
[1:30:37] dung2549: ลงไม่ทัน
[1:30:37] benjawan_n: ศึกคนชนเทพ
[1:30:39] Squirre1_P: 555555
[1:30:39] WaTzTeeRaWaT: 5555
[1:30:40] tanaphat_z: rebirthztvHaha rebirthztvHaha rebirthztvHaha
[1:30:40] Balloonjung: เอาหน่อย
[1:30:40] man_kittipoom: สวยๆๆๆๆๆ
[1:30:40] dew11w: โลกหายครึ่งใบ
[1:30:40] zeetar_u: ตัดสิน
[1:30:41] yournham: -..-
[1:30:41] kitzx_x: ม่ายย
[1:30:41] zsasztv9: 5555555555555
[1:30:41] aamfino34: โครตแรง55555
[1:30:41] sippasit: รวยยยยยยย
[1:30:42] max_123naja: ช
[1:30:42] bluno2544: เอ้าเเละลงทีกลี่หมดเลย
[1:30:43] pho_pee: ทักลี่ๆ
[1:30:44] hades66gamelive: ตัดสิน
[1:30:44] Limitttttt1: ชนะทีรวยมหาศาลเลยนะ555555555
[1:30:45] prayut_wanjanla: ขำจนปวดท้องเลย
[1:30:47] duekkdj: @jaoxnice_ ของผม7หมืน
[1:30:47] fiuk: คนชนเทพ
[1:30:47] meaningless_12: 5555555555
[1:30:48] twotone3: 55555555555555
[1:30:48] Abyssces: 5555555555555
[1:30:48] PeeKruBz: 55555555555555
[1:30:48] Autkung5K: 555555
[1:30:48] hlg420: มาาาาา
[1:30:48] mxjdkdbdsnsksn: 5555555555555
[1:30:48] dodolnwza007: 555
[1:30:49] Fatab0i_: 555555555
[1:30:49] p1chys: 555555555555555
[1:30:49] jirxwat_: 5555555555555
[1:30:49] zxzwwe: 55555555555555555555555
[1:30:49] XD3vilZc: 555555555555
[1:30:49] nickz247: 5555555555555
[1:30:49] thanathip_4: 50kกูอย่าให้เสีย
[1:30:49] sword_rbz_isnoob: LUL
[1:30:49] TawBoss_: 555555555555555555555555
[1:30:49] SharkReversez: 555555555555555555555555555
[1:30:49] sadgirl00132: 5555555555555555555555555555555555
[1:30:50] multipleza: 5555555555555555555555
[1:30:50] flukpnpz: 55555555555555
[1:30:50] BoonFixz: 55555555555555555555555
[1:30:50] byeoul_dal: 555555555555
[1:30:50] susubaby1: 55555
[1:30:50] Divavodka_: 55555555
[1:30:50] ナッ: rebirthztvHa
[1:30:50] punpanlvp: 55555
[1:30:50] AiweeMTN_: 5555
[1:30:50] popularjubjub: 55555555
[1:30:50] nonsnook26: 5555555555
[1:30:50] 101perc: 5555555
[1:30:50] nitipat_game: โห
[1:30:50] dnadog1: 555555555555555
[1:30:50] kengzasojung555: 555555
[1:30:52] guitarkubbb: โห555555
[1:30:52] marvelous8: 5645
[1:30:52] grace_0101: 5555
[1:30:52] tangkubbbbb: 555555555
[1:30:52] CatiNoz: 55555555555⁵55555555555
[1:30:52] o1tin_o: 555555555555
[1:30:52] pa9hapashu: 5555555555555555
[1:30:52] scottchil: 5555
[1:30:52] mondoraz: 55555555
[1:30:52] pakpoom_poon: พระเจ้าเจอพระเจ้า
[1:30:52] 0krit0: 55555
[1:30:52] imnotDelz: 5555555555
[1:30:52] holy_vik: 555555555555
[1:30:52] charlotte20005: สวย
[1:30:52] XHamZTeR: 55555555555555
[1:30:54] yanvasu: 55555555555555555555555
[1:30:54] ta3cha: 555555
[1:30:54] nevada_03: 555555555555555555
[1:30:54] anas_ut: 555555555
[1:30:54] mynameistang46: 5555555555
[1:30:54] rebestz: 555555555
[1:30:54] babyjayjo: 55555555555555555
[1:30:54] kounbadbabybigboy: 55555555
[1:30:54] thunx1444: 5555555555
[1:30:54] saranphat1078: 555555
[1:30:54] Rocky_Still: 55555555
[1:30:54] supakirt2007: 55555666
[1:30:56] b1_shop: ฟิ้วววว
[1:30:56] i_am_wedday: อย่างกะจัมเปอร์
[1:30:56] LeOn_MMIII: วาปอะ5555
[1:30:56] heremos1: 55555555555555555555555555555555
[1:30:56] iDay_Dream: 5555555555555555
[1:30:56] t4nbn77: 5555555
[1:30:56] newzlgh: 55555555
[1:30:56] nxeyy__: 55555555
[1:30:56] OkNumBer: 5555555555555555555555555
[1:30:56] ven_s_xvis: 555555555555
[1:30:56] nrzbly: 5555
[1:30:56] oodoodzaza11: วิเดียวหาย
[1:30:56] XENIA_XJP: 5555555
[1:30:56] nipon_12: สวยทัปลั้
[1:30:57] newnew31: 5555555
[1:30:57] jeon_than: 5555555
[1:30:57] SKXKOOL: โหโกง
[1:30:57] graf1930: 55555555
[1:30:57] mark_ker34: อะไรวะนะ
[1:30:57] nai_non_: 555
[1:30:57] mildmooyong: 5555
[1:30:57] somebadyluv: 55555
[1:30:57] 0rutobi: รวยยย
[1:30:57] godzre: จนค้าบรอไร
[1:30:57] jaomiu: 555555555555
[1:30:58] copepp: 5555555555555
[1:30:58] geegyboizzz: วาปเลยอะ555
[1:30:58] non7666: 5555
[1:30:58] lu_cifer01: 5555
[1:30:58] jet_go: 5555555555555555
[1:30:58] rezeero: วาแ
[1:30:58] DesticaZ: 55555555555555555555555555555
[1:30:58] bungterng13: รวยๆ
[1:30:58] younsauce: 55555555
[1:30:58] charlchanoks: 555555555 เดอะแฟลชชชชชชชชชช
[1:30:59] xxvip123: วาป555555
[1:30:59] saifa_m: 555
[1:30:59] say______ii: 5555555555555555555555555
[1:30:59] tnxcny: 5555555
[1:30:59] unizfirstt: 555555555555555555
[1:30:59] FewNavinZ: 555555555555
[1:31:00] maibok666: 555555555555555555
[1:31:00] bu62: 555555
[1:31:00] artpiyarach: 555555555555555555
[1:31:00] sawaphatlatakua: 55656
[1:31:00] jaoname88: นั้นมันวาปละ5555555555555
[1:31:00] kora08aa: 555+
[1:31:00] tytvtk: ผมลง 10 บาทเองอ่ะ555
[1:31:00] krongken_45: 555555555555
[1:31:01] aod_surakiat__: 5555
[1:31:01] nutmininab_1234: 5555
[1:31:01] phonthipaxxrt: 5555555555555555555555555555555
[1:31:01] hades_795: 5555555555
[1:31:02] katay_x: 5555555555555555
[1:31:02] sdluckygas: 555555
[1:31:02] KotaRi78: 555
[1:31:02] khinglikeyme: 555555555
[1:31:03] flukfluk123zaza: วาป555555
[1:31:03] REALxLIFE_XD: 555555555ได้ยินแค่เสียงแม่งหายเลย
[1:31:03] bank_rock2533: 5555
[1:31:03] SawattK: โห5555
[1:31:03] DY_ANUCHIT: 5555555
[1:31:03] marionettesz: 55555555555555
[1:31:04] toongt: 55555
[1:31:04] mai_ruu_: 55555555
[1:31:04] nan_injoAfu: 55555
[1:31:04] Macnum107: รถหรือเครื่องบิน
[1:31:05] firstkyy: 555555
[1:31:05] hilly_paly: 5555555555
[1:31:05] earn_009: 55555555
[1:31:05] racker49631: เอ้า
[1:31:05] junggo45: 555555555
[1:31:06] mickk898: 55555555555555555
[1:31:06] I3uuaon: อาหารจะหมด
[1:31:06] slationssss: 55555555555555
[1:31:06] Icecyycool: 5555555
[1:31:06] SirenCooper: 5555555555555555555555
[1:31:07] AGUSTD20: LUL
[1:31:07] tod907: rebirthztvHaha_SG rebirthztvJak
[1:31:07] bemybaconnn: 555555555555555555
[1:31:07] suwinpat: สวย
[1:31:07] chickenwingz17: 5555555
[1:31:07] gustdaeffcak: รวยยยย
[1:31:07] gdeyujkoog: minoruMaipang
[1:31:07] thean_maha: 5555555555
[1:31:07] kiavin_1996: ม่าย
[1:31:07] dagoma555: 5555555
[1:31:07] lookpalmmmm: 555555
[1:31:08] 11gb: รวย
[1:31:08] XiaoLin_l: รวยยยยยยยย
[1:31:08] xzskdl_tlto: 5555
[1:31:08] hi03182: 5555
[1:31:08] my_rorikon: 55555
[1:31:09] artee_2004: 55555
[1:31:09] neverdie_1992: สวยๆ
[1:31:09] sirayuhbeat: 55555
[1:31:09] loma191: 5555
[1:31:09] Rubyseekerz: รวย
[1:31:09] Squirre1_P: 555555555555555555555555
[1:31:10] wazy_wtp: รวยยยยยยยยยยยยยยยยย
[1:31:10] dow2546: 55555555555555555555
[1:31:10] hzkz45: 55555555555555555
[1:31:10] worachet0639707134: 55555555
[1:31:10] johnnykij: 555
[1:31:10] Baebfl: รวยยยยยยยยยยยย
[1:31:10] jtsoyclhciyoyupc: เอ้า
[1:31:10] aon007xc: สวนๆๆๆ
[1:31:10] ddream47: เห้ยๆๆๆๆ
[1:31:10] paniaramaiket: 55555
[1:31:10] papew_: 555555555555555555555
[1:31:11] over_past: อะไรกะนค่าบเนี่ย555 SeemsGood
[1:31:11] eternality__: ม่ายยยยย
[1:31:11] xizzack: 5555555555555555555555555555555555
[1:31:11] ga_nathaniel: สวยยย
[1:31:11] inumaki_haha: ม่ายๆๆๆ
[1:31:11] patisontii: ม่ายยยยยย
[1:31:12] owenely: รวยยยย
[1:31:12] nan_537: เอ้าา
[1:31:12] nomel19: 5555
