[0:09:47] フンバルト_ヘーデル: 美味しそうな後輩
[0:10:07] ぜうすさぶお: くっそかわいい
[0:10:08] cheeeeekun: 刃牙だえ
[0:10:09] ぽっしぃ: ｗｗｗ
[0:10:12] atsumori_pop: だえー！？
[0:10:13] 鈴木3: 萌え？！！
[0:10:15] フンバルト_ヘーデル: でへだえ
[0:10:16] torinosu_rainy: なぬ
[0:10:16] KABAYAKIGG: も、萌系！？
[0:10:18] user_001fin: 普通の声で喋っとる
[0:10:18] kou710927: かわいいえー
[0:10:19] 海猫だおーん: でへへ
[0:10:20] ぜうすさぶお: 刃牙やね
[0:10:22] しろしろくんどっと: ありけんが出てるw
[0:10:25] ことみょん: 楽しみだえね
[0:10:28] a_kamis0: チャルロスSAY
[0:10:28] 半熟めんま: 喜んでるなｗ
[0:10:28] ぽっしぃ: すーぐ鳩わくのね
[0:10:30] zenith_ar: ネタバレええて
[0:10:34] itoriyo: そんなんハッピーセットやんけ
[0:10:37] a_kamis0: 痩せた？
[0:10:38] ロンウィズリー: 楽しみだ
[0:10:42] atsumori_pop: まだチャルロスに入りきってないなあｗｗ
[0:10:46] 鈴木3: !pin
[0:10:47] ariken_company: 鳩・鳩反応・指示禁
[0:10:53] user_001fin: 元気そうでよかったw
[0:10:58] a_kamis0: 背中が細く見えるぇ
[0:11:01] 海猫だおーん: バスターコールだぇ
[0:11:07] フンバルト_ヘーデル: 先輩らしいとこみせるえ
[0:11:32] cheeeeekun: 兄貴って呼ばせるえー
[0:11:42] o5_oma: wwwwwwww
[0:12:07] hukotyuunowifi: 女の子に同情するえ
[0:12:30] こんぺんた: 多分その名前でいたらシナジー感じるよｗｗｗ
[0:12:40] エービー: こんばんは、お元気になってよかったです
[0:12:40] dorei4443: 抗争にからあげこないかなwwww
[0:13:19] hukotyuunowifi: このボブキャ相手したくないえw
[0:13:49] taku555555: taku555555 subscribed with Prime. They've subscribed for 19 months, currently on a 19 month streak! 
[0:13:51] n_nt0: ボスに報告したらー？
[0:13:53] user_001fin: 今から抗争？
[0:14:09] tamagon216: 21時からだった気がする
[0:14:21] atsumori_pop: 独立ゥ・・・
[0:14:22] user_001fin: ありがとう
[0:14:45] ぽっしぃ: CCか
[0:14:52] ごりらぁ: それなりの覚悟は必要そうだよね
[0:15:02] chrysanthemadam_763: アンブレラ直系みたいな形でも面白そう
[0:15:03] ぜうすさぶお: 来ちゃったからねえｗ
[0:15:05] tamagon216: 間違ってたらごめん
[0:15:07] yutan30: 別ギャングも体験してみたいね
[0:15:19] ぽっしぃ: ボブキャ被ることあるんや
[0:15:36] ぜうすさぶお: ｗｗｗｗｗｗｗｗ
[0:15:40] zenith_ar: つよw
[0:15:41] user_001fin: だえ〜
[0:15:43] tokino8044: よーし
[0:15:59] ぜうすさぶお: おっと
[0:16:00] ごりらぁ: ぼしゅー？
[0:16:00] takuchan12: 名前海王のまま行くのか？w
[0:16:06] ぜうすさぶお: ういいいい
[0:16:23] zenith_ar: 強いなww
[0:16:36] ぜうすさぶお: ｗｗｗｗｗｗ
[0:16:55] ぜうすさぶお: 中身わかりやすｗ
[0:17:19] 花咲か兄さん: 今日は抗争の日か〜
[0:17:20] エービー: 構想
[0:17:24] 4smaru: がんばえ〜
[0:17:35] らんぱ: 名前それでええんかw
[0:17:37] guren1_: お腹治りましたか？
[0:17:38] レヴィ99: ヘビーアーマーの違いも見れるね
[0:17:46] torinosu_rainy: 新人の名前すごいえ
[0:17:56] tsubuichigo: ふぁいとだえー！！
[0:18:01] ソルティー_: がんば
[0:18:24] zenith_ar: 那須さんテンション高いのいいなぁw
[0:18:38] ソルティー_: 貫通w
[0:18:47] ごりらぁ: やばすぎw
[0:18:58] ぜうすさぶお: えぐ
[0:19:04] twmonitor: コンセルの奪った結果ｗ
[0:19:05] ぜうすさぶお: ｗｗｗｗ
[0:19:06] kajokajoka: wwwwww
[0:19:08] ごりらぁ: wwwwwwwwwwww
[0:19:18] フンバルト_ヘーデル: えぐいて～
[0:19:18] ソルティー_: こわ
[0:19:21] ごりらぁ: チャルもいってみてw
[0:19:22] レヴィ99: 回収できるかwww
[0:19:23] ぜうすさぶお: ｗｗｗｗｗ
[0:19:24] かめれもん: これはやばい
[0:19:32] KABAYAKIGG: 回収だけして逃げるべwww
[0:19:32] しぇぱ3: わろたww
[0:19:33] twmonitor: 音wwwww
[0:19:33] 湘南マグナム: wwwww
[0:19:33] ぜうすさぶお: ｗｗｗｗｗｗ音がｗｗ
[0:19:34] フンバルト_ヘーデル: 激おこw
[0:19:37] sushiboysomg: 中止か
[0:19:40] ティーセブン: 狂人いるＷＷ
[0:19:42] judgemaster66: ファンキーコングいる？
[0:19:48] torinosu_rainy: ボス視点おもろいえw
[0:19:53] cheeeeekun: 回収するえ
[0:19:55] sushiboysomg: apexのチーターかな
[0:19:56] assistobake: ありけんじゃんもうｗ
[0:19:58] 豚野郎1227: チャルロス消えたｗ
[0:20:03] tarou0796: これどうやって助けるんだw
[0:20:08] atsumori_pop: チャルロスがどっかいったｗｗｗ
[0:20:10] sushiboysomg: グレしかないw
[0:20:15] sakuto3399: 回収するのはあそこ越えないといけないのよ
[0:20:20] ごりらぁ: あれ？
[0:20:20] kajokajoka: www
[0:20:29] torinosu_rainy: えww
[0:20:29] しぇぱ3: まじかよw
[0:20:30] ぜうすさぶお: ｗｗｗｗｗ
[0:20:32] 湘南マグナム: wwwww
[0:20:33] ごりらぁ: wwwwwwwwwwww
[0:20:33] tokino8044: wwww
[0:20:36] phoenix_desu: wwwwww
[0:20:36] sabachann123456: www
[0:20:37] 半熟めんま: なんだあれｗｗｗ
[0:20:37] atsumori_pop: もうありけんなんよｗｗｗｗ
[0:20:37] ぜうすさぶお: えっぐｗｗｗ
[0:20:38] ソルティー_: 歪みすぎw
[0:20:38] twmonitor: 歪みちらかしてるｗ
[0:20:41] ごりらぁ: どうなってるwww
[0:20:41] kittankeita: 歪みすぎwwww
[0:20:41] tooi9215: www
[0:20:42] 858625: えぐいw
[0:20:42] フンバルト_ヘーデル: 呪われてる
[0:20:43] ナマコ魚雷: おっもw
[0:20:45] ことみょん: 歪みすぎwwwwwwwwwm
[0:20:45] 海猫だおーん: えっぐwww
[0:20:46] エービー: 歪んでるwww
[0:20:47] 豚野郎1227: ｗｗｗ
[0:20:47] hukotyuunowifi: ガチカオスw
[0:20:47] nqshiko511: もうチャルじゃなくてありけんだぞ
[0:20:47] かめれもん: どんな歪みやねん笑
[0:20:52] わさび329: バミューダトライアングルかよｗ
[0:20:54] 海猫だおーん: 心なきの呪いが
[0:20:54] おちゃそ_13: やばすぎてチャルロスじゃなかったえ
[0:20:57] 半熟めんま: エグいてーー
[0:21:04] 豚野郎1227: チャルロス消えたｗｗｗｗ
[0:21:09] ぜうすさぶお: 最強のこころなし
[0:21:15] こんぺんた: 自爆させられてる心なきの呪いｗｗ
[0:21:20] sushiboysomg: こころなしの領域展開だよ
[0:21:23] zenith_ar: ww
[0:21:23] twmonitor: 壁抜き乱射歪みと強制瞑想の二段構えｗ
[0:21:24] ティーセブン: シーラ持ってた
[0:21:26] みゅんこ: arikenGolira arikenGolira arikenGolira
[0:21:32] 豚野郎1227: ミニガンやねあれは
[0:21:35] ぜうすさぶお: チーターやん
[0:21:56] たろをまんじ: 抗争楽しみだえ
[0:22:01] tooi9215: シャルナークに操られてるみたい
[0:24:03] 職人: チャルロスー
[0:24:16] ぜうすさぶお: wｗｗｗｗｗｗｗ
[0:24:21] itoriyo: 汚職かー
[0:25:00] sakana_tkg: 葉さんまだか？
[0:25:42] しゅらいむ: 抗争の開始時間とかってあるの？
[0:25:50] torinosu_rainy: 9時
[0:25:58] twmonitor: 勝ちとか多分ないえ
[0:26:04] ことみょん: 21時～3時
[0:26:05] しゅらいむ: ありがとうございます！
[0:26:44] ぱるぱるるん: 葉まだかなwww
[0:27:15] だーすだよ: がんばるえー
[0:27:35] 海猫だおーん: えっ
[0:27:39] sakana_tkg: 葉さんまだなのか
[0:27:42] ぜうすさぶお: ｗｗｗｗ
[0:27:46] だーすだよ: だーすだよ subscribed with Prime. They've subscribed for 5 months, currently on a 4 month streak! 全員ぼこすえ
[0:28:11] レヴィ99: チャルは疲れもあっただろうね
[0:28:29] 半熟めんま: 体ついていかないよね
[0:28:34] atsumori_pop: わきをも風邪ひくんだねえ
[0:29:06] 職人: あげコロ号
