[0:02:13] phonthipaxxrt: ดีครับบบ
[0:02:14] pleumsad2548: ดีค้าบบ
[0:02:14] Danger_udr: ดีครับลุง
[0:02:14] chadetha_thongfaing: หวัดดีงับลุง
[0:02:15] hapisurohman: สวัสดีครับ
[0:02:15] arnon_019: rebirthztvPlease
[0:02:16] 38_KillzX: ดีค้าบบพี่ชายย
[0:02:16] FIRXXST: ดีค้าบพี่เอส
[0:02:16] polkritza: สวัสดีครับ
[0:02:16] ARMWONGSATHORN: ดีครับ
[0:02:16] Sano_1997: ดีฮะ
[0:02:16] le_fauzan: ดีครับพี่เอส
[0:02:17] 33phakawat99: ดีงับ
[0:02:17] 0835321570: ดีครับ
[0:02:17] letmebeyourfav: ดีคับลุ้งงงงง
[0:02:18] hlg420: สวัสดีค้าบลุงงงงง
[0:02:18] jakkapat1090: ดีค้าบลุงงง
[0:02:18] sawut1: PogChamp PogChamp
[0:02:18] Yulia_hs: ดีน้าบบบบ
[0:02:19] nuszuza: ดีค้าบพี่เอส
[0:02:19] zhamasz: ดีคับลุง
[0:02:19] o_shura_o: ดีครับ
[0:02:19] lelashaha: เอาเว้ย
[0:02:20] Sky_DBlack: ดีน้าบบบบบ
[0:02:20] nampun_official: สวัสดีน้าบบบบบบบ
[0:02:21] save_vincenzo: ดีครับบ
[0:02:21] falaframe04: ดีค้าบบบ
[0:02:21] supakornnn4: ดีค้าบ
[0:02:21] lee98888: rebirthztvPlease rebirthztvPlease
[0:02:21] nesk_y: ดีน้าบ
[0:02:22] k_kam1234: ลุงหวัดดีค้าบบบบบบบ
[0:02:22] boss_c2: ดีครับลุงง
[0:02:22] peitxng: เปิดมาก็เอาเลยย
[0:02:22] tjexe5029: <3 <3 <3 <3 <3
[0:02:24] donut_pzh: สวัสดีครับ
[0:02:24] huawei__35: ดีคับ
[0:02:25] sarawut4082: สวัสดีครับลุง
[0:02:25] thanaphat119: ดีครับ
[0:02:25] rami_1081: หวัดดีค้าบบ
[0:02:25] jeenjub: สวัสดีค่าาา
[0:02:26] 466797851: สวัสดีครับ
[0:02:26] hobbinkop: ดีครับพี่เอส
[0:02:26] koponxxx: ดีค้าบ
[0:02:26] intrude99: ดีคร้าบบบ
[0:02:26] nofriend144p: ดีค้าบลูงงง
[0:02:27] duekkdj: ดีง้าบบบบบบบบบ
[0:02:27] samahusamaha: ดีค้าบบบ
[0:02:27] zx123cx: ดีคับลุง
[0:02:28] nack128795: ดีครับ
[0:02:29] via2020z: ดีค้าบลุงงงงงงงงง
[0:02:29] dhkkhv: ดีค้าบบบบบ
[0:02:30] GODJI_kub: ดีครับ
[0:02:30] GolemBakalos: ดีค้าบบบ
[0:02:30] nani31754: ดีค้าบ
[0:02:32] phakhawat131: <3
[0:02:32] atanch135r: ตืเต้นๆๆๆๆๆ
[0:02:32] filly_refly: หวัดดีครับ
[0:02:32] phongsathorn988: ดีคับ
[0:02:32] itryckjustkind_: ดีครับ
[0:02:33] hdfh098: หวัดดีน๊าบบบ
[0:02:33] jiraphatboom: ดีกั๊บ
