[0:01:02] portextex45: 555เอาดี้
[0:01:02] nut_er: หะ
[0:01:02] ppinkblue_: เอาดี
[0:01:02] pmosza365: อะไรอีกกกกก
[0:01:03] 0612152614: Dตับ
[0:01:03] tong_metha: ลุงกยุดแน่เลยคืนนี้
[0:01:04] kanmcake: ดีค้าบบ
[0:01:04] anirut_1rat: เอาละดิคุณพี่ผมมาบ้างละ
[0:01:05] tttubtimmy_: ดีจ่ะ
[0:01:05] trmla: จัดมันพรี่
[0:01:06] Black_Devil_Pk: rebirthztvOmg
[0:01:06] markkun_n: ห้ะ
[0:01:07] thananya225: เห้ยยยยย
[0:01:07] mon12234: ดีค้าบจุนลุงงง
[0:01:07] nanny456: 55555 พึ่งดูเมื่อกี้เลย
[0:01:08] Jaydenn_tkd: กลัวๆๆๆ
[0:01:08] KAPUJJJJ: มาไวแบบตะโกนนน
[0:01:08] khunvit: เต็มระบบแน่
[0:01:09] lufykung_119: Dครับลุง
[0:01:10] pon_laosno1: มาไวจัด
[0:01:10] nueng_xx: มาาาาา
[0:01:10] lionwisdom: สวย
[0:01:10] ROSAE96: โหนกะเต็งไหมลุง
[0:01:11] nutthaporn_b: มาๆๆๆ555
[0:01:11] mona_wexkj: ห้ะ
[0:01:11] kingdj78928365: งงทุกคน มาไวจัด
[0:01:12] nuttto_o: เอาดีลุง
[0:01:12] mimikimo: เอาดีตาแก่
[0:01:12] Onsupness: อ้าวเอามาไม่หมดหรอบอลเพื่อนนนนนน55555555
[0:01:12] NighthiN2548: ดีครับพี่เอส
[0:01:13] nongtanffg: เอาล่ะดิ!
[0:01:14] tanon18: <3<3￼￼ <3
[0:01:15] ballrysansuk: โอเคว่าอยู่
[0:01:15] shisuirx: เอาละดิ
[0:01:15] opp90558: ขอแทร่
[0:01:15] nuunahee888: โหนกะเเม็ค
[0:01:16] sharkwhite7: มาเร้วแบบนี้ใจไม่ดีเลย
[0:01:16] piriyapattp: จัดไปปปป
[0:01:17] puttipong168: มาๆ
[0:01:18] KHUNTIGER: เอาละดิ
[0:01:18] ussadaw00t: ussadaw00t subscribed at Tier 1. They've subscribed for 15 months! ดีครับ
[0:01:19] treebloodnoi: สวัสดี วันนี้ฝนไม่ตกละ
[0:01:19] pondsaza: pondsaza subscribed at Tier 1. They've subscribed for 12 months! 
[0:01:19] nontachai78: เอาดี
[0:01:19] ussadaw00t: ดีครับ
[0:01:20] kenshinxz: จัดมันดิพี่ช่าย เอาหนักๆไอ่เหี้ยบอลอ่ะ
[0:01:20] Allstar_000: เห้ยยย อะไรกันคับนี่
[0:01:21] deammmmmm111: เอาดีไง55
[0:01:23] RLEE___x: จัดมันหน่อยลุง
[0:01:24] TrueStar__99: มาเวลานี้มีเรื่งแน่ๆ
[0:01:26] sayhighx2: sayhighx2 subscribed at Tier 1. They've subscribed for 21 months! 
[0:01:27] babycruz: เอาดี
[0:01:28] vampires444: vampires444 subscribed at Tier 1. They've subscribed for 22 months! 
[0:01:28] FahSkyy_: โหนกับแม็ค
[0:01:29] holygane: อะเคครับ
[0:01:30] xmendes656: มาเร็วแท้
[0:01:30] rewwny: 5555
[0:01:30] OwenDekD: 5555555
[0:01:30] sppearrr: มาเร็ว=มีเรื่อง55555555
[0:01:31] espreszo0: อันยองงง
[0:01:31] ohmygoshYS: เออดีลุง พูดซะบ้างลุงอ่ะ
[0:01:33] gunter00123: บังบวมจะเอายังไง
[0:01:33] ck9rider: เอาจริงอ่ะ
[0:01:33] koaweerachat: จัดไปลุง
[0:01:35] firstyeah1234: โดนสวนดิ
[0:01:36] gapmodifly: เอาดี
[0:01:36] SeA8090: เอาสุด
[0:01:36] premiun01: เอาให้สุดเลยลุง
[0:01:37] thanatip_420: ลุงกินยาไม่เขย่าขวดแน่ๆ
[0:01:37] megadeath123456: เอาเเล้วววว
[0:01:37] 3sofree: แฮ่มมมมมมม
[0:01:38] pang253812: จัดไป
[0:01:38] Care3ear: เอ่บ้างลุง
[0:01:39] tttubtimmy_: ว่าระทำไมมาไวจุง
[0:01:40] by_wen: มารีบเข้ามาดูด้วย
[0:01:42] zinladyy: โหหหห
[0:01:42] nabet122: จัดการพวกมันเลยพี่
[0:01:43] smgdew: เลี้ยงโปรจริงไหม
[0:01:44] lexixan_85: เอ้ยยยยย มาเร็วจาดดด
[0:01:45] adenan_080741: ลุง
[0:01:46] babynoop: มาๆ
[0:01:47] stp_20803: Dmg มึงมาไอสวะ
[0:01:47] nookkn99: เอ้า555
[0:01:48] Nightbot: Subscribe ได้ที่ลิ้งนี้https://www.twitch.tv/products/rebirthztv/ticket?ref=below_video_subscribe_button
[0:01:48] Vadna_1010: เอาดีีี
[0:01:50] oxypi_888: เอามาไม่หมดหรอเนี่ยย เอ้าา 5555 ใส่มันลุง
[0:01:50] khunvit: ลุงบอกแล้วไงว่า เอาให้ตายกันไปข้างนึงอะ
[0:01:51] ppmo_: rebirthztvPlease rebirthztvPlease
[0:01:52] nqueenbee: มาเร็ว=หมี่เหลือง5555
[0:01:52] not_snp: จัดครับจัด rebirthztvLove rebirthztvLove rebirthztvLove rebirthztvMuay rebirthztvMuay rebirthztvRich
[0:01:53] sunetta_: ลุงเอาสุดละดิ5555
[0:01:54] noar_baron: มาแล้วพี่
[0:01:54] 19bank: ต็อกหน้ามันกลับเรยลุง
[0:01:55] Revenclawx: ดีน้าบบจุนลุง rebirthztvPlease rebirthztvLove
[0:01:56] tigher18: ไม่รู้
[0:01:58] lufykung_119: NotLikeThis NotLikeThis NotLikeThis
[0:01:58] treebloodnoi: ไม่รุ
[0:01:58] sin_888: ไม่
[0:01:58] geeee96: ไม่
[0:01:58] xp___px: อย่าใจดีกับพวกนี้เลย
[0:01:58] peerawat__4444: ผมไม่รู้
[0:01:59] babycruz: ยัง
[0:01:59] AutoQ_TV: ยัง
[0:01:59] ktangsutorn: โว้ว มาไว
[0:01:59] 1_chowder: ไม่
[0:01:59] conanpu: มายคราฟสนุกไหมแช
[0:02:00] aosoti: ยังลุง
[0:02:00] owza007thai: ไม่
[0:02:00] chaichana_TH: เอาไห้หน้าหงายเลยครับ
