[0:01:36] nomjued_z: ดีคับบบบ
[0:01:37] TangSogoodSogod: SeemsGood SeemsGood
[0:01:37] Adumnakub15: ดีครับ
[0:01:37] n_nut25: สวัสดีครับลุง ดีครับทุกคน
[0:01:37] jakkarin123456: HeyGuys HeyGuys HeyGuys
[0:01:37] lucifernero: ดีครับลุง
[0:01:38] mr_maxz77: ดีครับ
[0:01:38] ammarin41: เบาเสียงกันยังทุกโคนนน
[0:01:38] tekung2012: tekung2012 subscribed at Tier 1. 
[0:01:39] ben01042547: ดีครับพี่เอส
[0:01:40] thanwasutta: ดีค้าบบบบบ
[0:01:40] rabbit_t_: @purple_purple_iusupczz ดีค้าา StinkyGlitch
[0:01:41] bambam0213: @purple_purple_iusupczz สวัสดีฮะพี่ซุปป
[0:01:42] purple_moon_iusupczz: @thipplex สวัสดีจ้าตั้ม rebirthztvLove
[0:01:42] nomsod_23: ดีครับ
[0:01:42] akaprayzii: ดีคับลุง
[0:01:43] sito_tar: ฮายคับ
[0:01:44] kil_luaaa: ดีน้าบบบบ
[0:01:44] babyrid_: ดีค้าบลุง
[0:01:44] Jhakpet_: สวัสดีครับเฮีย
[0:01:44] thanat_name: ดีครับลุง
[0:01:45] tonmtr: rebirthztvAfk_SG
[0:01:47] aphisitman_u: สวัสดีครับบ
[0:01:47] colazaaa: ดีคับพี่
[0:01:48] ol2al3elo: ดีครับ
[0:01:49] ramsix_: ดีครับพี่เอส
[0:01:50] gu_handsomeeeeeeeeeeeeeee: ดีครับ
[0:01:51] teera_07: ดีครับลุง
[0:01:51] lion_th5654: ตกใจ
[0:01:51] purple_moon_iusupczz: @peat21 สวัสดีจ้า rebirthztvLove
[0:01:55] ben01042547: @purple_purple_iusupczz ดีครับพี่
[0:01:55] OvEl2DoSe: หวัดดีคับพี่เอสส rebirthztvLove rebirthztvLove
[0:01:55] arshiwynternelboy: ดีค้าบบบบบสุดหล่อออ
[0:01:55] FluckNa: ดีครับ
[0:01:56] basnatapat: ดีครับสุดหล่อ
[0:01:56] jaoFrame: ดีครับลุง
[0:01:56] WatDaFakK_21: เยี่ยยยย อาห้ะ
[0:01:57] Thitisorn007: สวัสดีครับ rebirthztvLove
[0:01:57] sarawut0620703375: ดีคับลุง
[0:01:57] kainuy29: เฮิ้ปปปปปๆๆดีค้าบ
[0:01:58] pannatorn2549: ดีครับลุง
[0:01:58] PaoAres: r34 โดนผญขึ้นรถแล้วหรอครับ
[0:01:59] bomb_2003: rebirthztvMc
[0:02:00] tekung2012: ดีครับลุง
[0:02:00] OvEl2DoSe: ดีคับทุกคนนนนนน
[0:02:01] 1beet1: ดีค้าบบบบบลุงงงงงง
[0:02:01] purple_moon_iusupczz: @tai_1144 ดีฮ่ะ rebirthztvTew
[0:02:02] zeetar_u: PoroChop PoroChop
[0:02:03] saottimu: ดีค่าบบบบ
[0:02:04] assakorn: ดีครับพี่เอส
[0:02:05] newaxne: ดีง้าบเยิ้ฟๆ
[0:02:05] notq3: rebirthztvBad
[0:02:06] Kapong_s: สวัสดีครับ
[0:02:06] jirawat34: สวัสดีครับ
[0:02:06] nonthapatzx: !uptime
[0:02:07] Nightbot: Stream uptime 2 minutes, 27 seconds
[0:02:08] Shield__: PogChamp
[0:02:08] natthwasu: ดีครับบ
[0:02:09] mark7783: พี่เอส
[0:02:09] kritsada_1210: ดีครั้บบบลุงงง
[0:02:10] Nightbot: พี่เอสหล่อมาก
[0:02:10] ta2522: PogChamp
[0:02:11] monkeythz: Dค้าบบ
[0:02:11] wannalop12: ดีครับ
[0:02:11] worawit089: ดีครับลุง
[0:02:11] natdanai_1150: สวัสดีคับลุง
[0:02:11] oat55130: ลุงมาเช้าวะ
[0:02:14] auto555th: ดีครับ
[0:02:15] bambam0213: @ovel2dose สวัสดีฮะ
[0:02:16] mmmmmmmmmmmiajanakl: มาแล้ว
[0:02:17] purple_moon_iusupczz: @bambam0213 แบมๆสวัสดีจ้า rebirthztvLove
[0:02:18] microwavexa: ดีครับลุง rebirthztvPlease
[0:02:18] mark7783: Squid1 Squid3 Squid2 Squid4 GenderFluidPride
[0:02:19] blacklotus1230: PixelBob PixelBob PixelBob
[0:02:20] Jackzgoboy: ดีครับบาโบ๊
[0:02:21] aon_surat: ดีค้าบลุง
[0:02:22] witthawin_2007: diub
[0:02:22] nogobi_9543: ดีค้าบ
[0:02:24] alibeanre: มาไวบอกเลยบอกว่าเเปลกๆๆ
[0:02:24] unmail_zen: ลุงเสื้อมากี่โมงเหรอคะ พรุ่งนี้มีเรียนกลัวกดไม่ทัน
[0:02:25] 1beet1: HeyGuys
[0:02:25] chaimonori37: สวัสดีครับพี่เอสรีบูต
[0:02:26] bennnnnnnnn12: ดีค้าบลุง
[0:02:26] osuki_jamida: jackey9Nuiiii jackey9Nuiiii
[0:02:26] Anakin_XD: @hackand ใครถาม
[0:02:26] filmlovejak: ดีคับ
[0:02:29] OvEl2DoSe: @bambam0213 หวัดดีคับผม
