[0:00:14] 0871956352: ดีค้าบบบลุง
[0:00:57] pking_____: ดีครับ Kreygasm Kreygasm
[0:00:57] natthawata: 👑🖤JANANGKAAN🖤👑
[0:00:58] coppa_00: ดีคับ
[0:00:58] aquamarineboyd: ดีค้าบบบบ
[0:00:58] meettodie: 111
[0:00:58] pirapat_5: สวัสดีครับ
[0:00:58] Meklao1: กำลังรออยูาเลย
[0:00:58] chezterq: มาแล้ววววววว
[0:00:58] xddarkrp: ดีค้าบ
[0:00:59] kon6787: ช้าจัด
[0:00:59] win_x_croissants: ดีครับ
[0:01:00] sonthaya_07: รอนานจัด
[0:01:00] hiphoppae: ดีครับ
[0:01:00] bdm_earthza: ดีครับ
[0:01:00] tmdzxz: ดัค้าบบบบบบ
[0:01:00] fffuke: มาพอดีเลย
[0:01:00] madaeim: นึกว่าไม่มาแล้ว
[0:01:00] bankscg1: หวัดดีครับลุงทอม
[0:01:00] love_jak: ดีคับลุงว
[0:01:01] ba_furu: สวัสดีครับ TPFufun
[0:01:01] fc_p_mack: ดีครับ
[0:01:01] via2020z: ดีคับลุง
[0:01:01] captain_2007_: ดีค้าบบลุง
[0:01:02] petehub: ยันเช้ามั้ยครับ
[0:01:02] suppagon2547: เสียงบ็อบโครตงอม
[0:01:02] hekrieo: วันนค้มาช้าจังเลยครับ
[0:01:02] VIEW_SAD_BOY: ดี
[0:01:02] sutthirat_47: ดีครับ
[0:01:02] Haris_Cm: สวัสดีครับ
[0:01:02] jirawat34: ผมรอตั้งนาน
[0:01:02] jirapat_ice0: ดีครับลุง
[0:01:03] anakhet_2007: สุดหล่อ หล่อสุดคับ
[0:01:03] baskung_kun_jane3_omg_ja_: ดีค้าบบบบ
[0:01:03] joyboy434: มาวะ
[0:01:03] boonchux: ดีคับ
[0:01:03] 0626649044: วันนี้มาช้าจังครับ
[0:01:03] phe_phoenix: StinkyGlitch
[0:01:04] 42OOG_: rebirthztvLove rebirthztvLove rebirthztvLove rebirthztvLove rebirthztvLove
[0:01:04] rabbit_t_: ดีงับคุณลุง
[0:01:04] filx1102: ดีครับ
[0:01:04] jgghhn: สวัสดีครับ KonCha GlitchNRG
[0:01:04] tem123_jak: ดีคับลุง
[0:01:04] pony_festh: ดีครับลุง
[0:01:05] pipe629872: ดีคับลุง
[0:01:05] anuto_xx: ลุงอยู่มา7ปีแล้วมีไรดีขึ้ยมั้ยครับลุง
[0:01:05] supachai880: พี่เอสกับบ็อบเป็นแฟนกันจริงมั้ยครับ
[0:01:06] frame_2004: ดีครับ
[0:01:06] kamush1: ดีครับ
[0:01:06] skyhill1: ดีค้ายบบ
[0:01:06] BIWyaniz: สาสาสาสาหวัดดีค้าบบบบบบ
[0:01:06] tonklaaaaez: มาเเล้วโว้ยยยย
[0:01:06] phothi_pt82: Cha
[0:01:06] faisol2549: สดสด
[0:01:06] ludenz_live: ดีค้าบบ
[0:01:07] fluckmy: ดีคับ
[0:01:07] songkran_jpk: ดีครับบ
[0:01:07] lcyg: ดีฮะลุงง
[0:01:07] NongBoom_naja: ดีน้าบบบบ
[0:01:07] tyme_fc: ดีครับ
[0:01:07] RAZOR_1997s: จะหลับแล้วว
[0:01:08] patcarapon99: ดีครับลุงง
[0:01:08] nirda21: ดีคับ
[0:01:08] tbnooppp: ดีครับลุง
[0:01:08] dunlayasak: รออยู่เลยครับลุง
[0:01:09] karaungun: ดี
[0:01:09] kzetton: ดีครับลุง
[0:01:09] godzeed_2007: สวัสดีครับลุงงง
[0:01:09] dag_jak: ดีค้าบลุง PowerUpL PowerUpR
[0:01:09] boatkenzo: ดีคับ
[0:01:09] kongthai11: สวัสดีคับ
[0:01:10] Fist_Immortal: AppaK KaWutGuys
[0:01:10] jerleoy: เอาใหม่ครับรอบหน้า
[0:01:10] phichet2: สวัสดีครับลุง
[0:01:11] notloveornbnk: ดีครับลุง
[0:01:11] r5r5live: สวัสดีครับลุงตู่
[0:01:11] sealwct: สวัสดีครับ
[0:01:11] hamdeei: สวัสดีครับลุง
[0:01:11] sonthaya_07: วันนี้ชดด้วยนะลุง
[0:01:12] stnang2005: หวัดดีค้าบ
[0:01:12] ben01042547: ดีครับพี่เอส
[0:01:12] KANAKORN_34: หวัดีค้าบลุงงงงง
[0:01:13] moon_knight_69: ดีค้าบบลุง
[0:01:13] tanabodee1: วัดดีครับลุง
[0:01:13] beamjub: พึงตื่นหลอลุงง
[0:01:13] boatmail_19203: ฟังทุกวัน
[0:01:13] pek309: แป๊ะ!!ทะไมถึงมาสาย
[0:01:13] babybigtoonx2: rebirthztvPlease
[0:01:13] isongch: ดีครับนึกว่าไม่มา
[0:01:14] megalodonxxjo: ลุงมาสายย
[0:01:14] TAWHAD: เเท็คเกมผิดบ่นิ
[0:01:14] phet_112: ดีคับลุง
[0:01:14] animal_ch: rebirthztvLove
[0:01:14] captain_2007_: นึกว่าจะไม่มาซะเเล้ว
[0:01:14] god_stefan: สวัสดีครับแต่ช้าเกิน
[0:01:15] win_x_croissants: wedwtfMove02
[0:01:15] purple_moon_iusupczz: สวัสดีครับพี่เอส
[0:01:15] VIEW_SAD_BOY: taowloMaCry
[0:01:15] rhachael_gg: สวัสดีคับ คุณลุง
[0:01:15] OLDMAN18YEAR: สวัสดีคับ
[0:01:15] colazaaa: สวัสดีค้าบ <3
[0:01:15] 9zerobetex: ดีครับลุง
[0:01:15] arm313131: ดีครับ
[0:01:16] ga_nathaniel: ดีค้าบพี่เอส
[0:01:16] mogzcylive: วัดดีครับ
[0:01:16] iifrungfringii: ดีครับบบบบบบ <3
[0:01:16] FIRST_HND: ดีค
[0:01:16] tawan_205: Keepo
[0:01:16] zxmmngc: รักลุงกด1
[0:01:17] maiymm: ดี
[0:01:17] emxno1: ดีคับลุง
[0:01:17] nxpaz: ดีงับลุง
[0:01:17] newjersy: ดีครับแจ็ค
[0:01:17] winterxwinner: สวัสดีคราฟฟ
[0:01:17] arizara: แท็กเกมแปลกๆป่ะ
[0:01:18] swrt007: ดีฮะ
[0:01:19] vrockxd: ดีครับ
[0:01:19] milkphatcha: ดีครับลุง
[0:01:19] keratipond: คิดถึงลุงมากกกก5555 BibleThump BibleThump BibleThump BibleThump BibleThump
[0:01:20] cr3xmmii: ดีค้าบบบบบ
[0:01:20] anakhet_2007: เหล่ท่อ
[0:01:20] nnhart9955: ดีค้าบลุง
[0:01:20] heckk1122: ผมคิดว่าไม่มาละ
[0:01:21] FurioN5422: Reeeeeeeeeeeeeeee
[0:01:22] jimmyxx777: ดีคร้าบบ
[0:01:22] phubodhin_fino: ลุงสวัสดีครับ
[0:01:23] lopkmz: PoroChop PoroChop
[0:01:23] phet_112: ดีคับๆ
[0:01:23] onceg: HeyGuys
[0:01:23] my__42: สวัสดีครับ
[0:01:23] sixser15y: ดีครับสุดหล่อ
[0:01:23] paeiyg658: BibleThump BibleThump
[0:01:24] see_minda: d ครับ
[0:01:24] thanakorn250651: ดีครับลุง
[0:01:24] emxno1: <3 <3 <3 <3 <3 <3 <3 <3
[0:01:24] win_x_croissants: wedwtf08 wedwtf08 wedwtf08
[0:01:25] purple_moon_iusupczz: สวัสดีนะครับทุกคน
[0:01:25] naeknoone: สวัสดีครับลุง
[0:01:25] FIRST_HND: ดีคับแบบบบบบบบบบบบบ
[0:01:25] im_sinza: ดีงับ
[0:01:25] chanchainohnoi: ดีครับลุง
[0:01:26] tonkgawnakub: ต่อโมเดลเสร็จแล้วหรอครัข
[0:01:26] phoniltv: สวัสดีคับ
[0:01:27] kamush1: ResidentSleeper
[0:01:27] gxin_n: กกต
[0:01:27] naphatsakorn1115: Kappa Kappa
[0:01:27] Nightbot: กองกำลังตู้! Kappa
[0:01:27] jirawat34: ดีครับลุง
[0:01:27] tonmega: สวัสดีค้าบบบลุง
[0:01:28] ohm_vag4my: SeemsGood SeemsGood
[0:01:28] raksapum: ดีครับ
[0:01:28] zeetar_u: Kappa
[0:01:29] FARAJOB: ดีค้าบบบเพลง ติดหูไปล่ะ 1
[0:01:29] ReMix___: แท็กเกมรัยคับ
[0:01:29] pasun23357: หวัดดีครับลุง
[0:01:29] thanwasutta: รอนานมาก
[0:01:30] aum1116: สวัสดีครัย
[0:01:30] aonjukku: D kib
[0:01:30] wiwsav_v: สวัสดีงับบ
[0:01:31] mon1361: BibleThump BibleThump BibleThump
[0:01:31] lookked_99: คิดว่าจะไม่มาละลุงง
[0:01:32] 4rmie: ดีงับ
[0:01:32] siwatesopa: ดีครับลุงง
[0:01:33] Oasis_Live_Forever: HungryPaimon
[0:01:33] FUANGFA_CHAOBOL: ดีฮะ <3
[0:01:33] animal_ch: สวัสดีครับ
[0:01:34] jirawat34: ผมรอตั้งนานๆ
[0:01:35] tarpnckjn: ดีคับ
[0:01:35] Natthawut_Oppa: เเคปชั่นแปลกๆๆ
[0:01:35] rabbit_t_: @purple_purple_iusupczz ดีน้าบบรอบฉองงง <3
[0:01:35] ben01042547: @purple_purple_iusupczz ดีครับพี่
[0:01:36] zoneg9: ดีครับพี่เอส
[0:01:36] purple_moon_iusupczz: rebirthztvLove
