[0:01:12] thanakon33599: DKAB
[0:01:12] iconcrush: ดีหะลุง
[0:01:13] maxmazx: ดีค้าบ
[0:01:13] axrm_zo8: ดีน้าบบลุงงง
[0:01:14] neon_n66: GlitchNRG GlitchNRG
[0:01:14] bebeyro: ดีครับน้า
[0:01:14] YoungYingYaooo: ดีครับลุง
[0:01:15] good134754: ดีค้าบบ
[0:01:15] bungsame: ดีครับ
[0:01:15] pooltvi: สวัสดีครับลุง
[0:01:15] basther77: ดีครับ
[0:01:16] cent2551: ดีค้าบ
[0:01:16] seksan_1997: มาแย้วงับลุง
[0:01:16] hdfh098: มีไฟจัดคับ
[0:01:16] boomieiey: ดีครับ
[0:01:17] nnxsgi_: ดีครับพี่หงอก
[0:01:17] mai130156: ดีครับบบ
[0:01:17] JosephBaKa02: ddddddddddd
[0:01:17] mixkkyy: จุนลุงงงงง
[0:01:18] beam_050: ดีค่ะ
[0:01:18] WASANCRP: rebirthztvRich
[0:01:18] dikkayy: ดีค้าบลุง
[0:01:18] asdfghjik11: ___บ้านหลัง
[0:01:18] kkorakrit29kk: D kupp
[0:01:18] GODJI_kub: ดีครับ
[0:01:18] bestbu999: ดีคับคุณลุง
[0:01:18] mona_hee: ดีงับบบ
[0:01:19] pon12345778: ดึครับ
[0:01:19] puttipong168: ดีค้าบ
[0:01:20] rxmcrxzz_: ดีครับบบ
[0:01:20] tong_99999: ดีค้าบ
[0:01:21] wasdswsad: ดีครับพี่เอส
[0:01:22] majichannel: สวัสดีครับลุง
[0:01:22] KKRITTAPAT__: jackey9Huphup jackey9Huphup jackey9Huphup
[0:01:22] YazirKuechi: rebirthztvMuay
[0:01:22] mimihkh: gumtvxLuv gumtvxLuv gumtvxLuv
[0:01:22] apiwat_07: เดินด้วยไฟแค้น GlitchLit GlitchLit GlitchLit
[0:01:22] manitthisakk8: ดีน้าบจุนลุง
[0:01:23] nine_jiranuwat: ดีคับ
[0:01:23] thaleksad2002: ดีครับพี่มาลี
[0:01:24] masses_focus: <3 <3 <3
[0:01:24] kongxxz: ดีครับลุง
[0:01:25] ktpoom28: rebirthztvLove rebirthztvLove rebirthztvLove rebirthztvLove
[0:01:25] killuarog34: สวัสดีครับลุง
[0:01:25] bi_kabb: ดีครับบบ
[0:01:25] geniuseiei: คนมีไฟ
[0:01:26] loker0077: ดีค้าบบบบ
[0:01:26] P_00_M: ดีค้าลลุงงงง
[0:01:28] dajimmi: เห็นมีคนบอกไม่มา นึกว่าจะไม่มาสะแล้วครับ
[0:01:28] TimeVER39: TimeVER39 subscribed at Tier 1. They've subscribed for 6 months! 
[0:01:29] bank1322224: คีค้าบบบบบบ
[0:01:29] pluemmds: jackey9Huphup jackey9Huphup jackey9Huphup
[0:01:29] gryffindorr: rebirthztvRich rebirthztvRich rebirthztvRich
[0:01:29] thaitanium_th: rebirthztvHuh
[0:01:29] supassin: ดีครับ rebirthztvMuay rebirthztvMuay rebirthztvMuay rebirthztvMuay rebirthztvMuay rebirthztvRun rebirthztvRun rebirthztvRich rebirthztvRich
[0:01:30] judngaw_ssd: ลุยลุงงง
[0:01:30] geegyboizzz: ดีครับ
[0:01:31] ice_ttu09: คนมีไฟ
[0:01:31] one2t_: ดีคับ
[0:01:31] chokkkk7: รักๆๆๆๆ
[0:01:31] pair_15: สวัสดีคร้าบ
[0:01:31] jokker255: ดีครับ
[0:01:31] Narongpol5: CaitlynS
[0:01:32] patrapee_e: คนมีไฟ
[0:01:32] KAntAWit_: เห้ยยย
[0:01:32] to8636: ดีครับบบบบบสุดหล่อออ
[0:01:32] lil_monx1: สวัสดีค้าบคุมลุงงง
[0:01:32] MheeKUMAA: jackey9Huphup jackey9Huphup
[0:01:32] pon_irjejje: <3 <3 <3 <3 <3
[0:01:32] mara_khomm: ดีค้าบลุงง
[0:01:32] PonD18579: rebirthztvPlease rebirthztvPlease rebirthztvPlease
[0:01:32] passakorn__: ดีค้าบบบ
[0:01:32] max5560: rebirthztvRuraa
[0:01:32] peetkik: หวัดดีค้าบลุง
[0:01:33] ingtnw891: คนมีไฟเวอร์
[0:01:33] rattasit12: ดีคับลุง
[0:01:33] magi_haha: rebirthztvHa rebirthztvHa
[0:01:33] dikkayy: !sub
[0:01:33] Nightbot: สามารถกดซัพได้ที่ลิ้งนี้เลย http://bit.ly/2nubLjU
[0:01:34] xhdjvtjbdbnu: ดีครับ
[0:01:34] mulata_boy: ดีคับลุง
[0:01:34] m_nikk888: ดีฮะพ
[0:01:34] cent2551: ดีครับลุงงง
[0:01:35] suphakit1320: ดีค้าบ
[0:01:35] polkritza: สวัสดีครับ
[0:01:35] SxsiPhat_: ดีครับพี่เอสสสสสส
[0:01:35] thossaporn_: DarkKnight DarkKnight DarkKnight DarkKnight DarkKnight
[0:01:35] j_sanya: ดีครับ
[0:01:36] jengrubjob: ดีครับบบบ
[0:01:37] hgg2512: ดีครับลุงSMD
[0:01:37] ArthurGlaywind_: ดีค้าบลุง
[0:01:37] Yulia_hs: ดีน้าบ
[0:01:37] sorryprettyboii: เสียไม่ได้ TriHard
[0:01:37] tong_99999: rebirthztvLucas
[0:01:38] name_thakaskon: คนมีไฟไฟโครตแรง
[0:01:38] super_nuyy: เปิด SMD ด้วยวะ
[0:01:38] fluke_ooo: ดีครับพี่เอส
[0:01:39] EverydayYunek0: ลุงสวัสดีค่าาาา jackey9Heartkub jackey9Heartkub
[0:01:39] jiraphattv: GenderFluidPride GenderFluidPride
[0:01:39] mayzii999: สวัสดีคร่าาาาา
[0:01:39] ood123123: ดีครับ
[0:01:39] insigth24: ดีครับลุงงง
[0:01:39] nxtzxwzt: นึกว่าวันนี้หยุด
[0:01:40] ErOrzzzz: ดีคับ
[0:01:41] jirxwat_: ดีค้าบบบ
[0:01:41] mis_midg9: ดีครับลุงลี
[0:01:41] OvEl2DoSe: หวัดดีคับบบบ
