[0:02:06] MonX2X: ดีน้าบบบบบ
[0:02:07] nattakorn_111: ดีครับลุง
[0:02:08] mosphattarapol: ดีค้าบบลุง
[0:02:08] Doraemon0299g: ดีครับพี่เส
[0:02:08] pomix_2: ดีค้าบสุดหล่อ
[0:02:08] sixdriver22: ดีค้าบลุงงง
[0:02:08] BE4mxlive: หวัดดีครับลุงงงงงงงงง
[0:02:08] pohggez: สวัดดีค้าบ
[0:02:09] name_thakaskon: rebirthztvX
[0:02:09] fazxifafi: ดีน้าบบ
[0:02:09] sundy_12345: ดีครับลุง
[0:02:09] meaningless_12: ดีครับ
[0:02:10] sn0pparuj__: 35 35 35 35 35
[0:02:10] zerodpp: ดีครับ
[0:02:10] WTTLEA: ดีครับบบ
[0:02:12] Nadech_xx: ดีครับพี่เอส
[0:02:12] bizena: ดีครับ
[0:02:12] Nitr0Gen_77: สวัสดีครับ rebirthztvNarukeu
[0:02:13] pang_nn_: ดีครับ
[0:02:13] killuarog34: สวัสดีครับ
[0:02:13] IceCute_: มาไววว
[0:02:13] onigirijr7: ดีครับลุง
[0:02:13] JJaOHhh: ลุ๊งงงงงงงง
[0:02:13] theearth24: บ้านใหม่มาแล้ววว
[0:02:14] boom2212: ดีครับบบบ
[0:02:14] jrjrrkhb: ดีคับลุง
[0:02:14] zoom_1437: วันนี้มาไวจังลุง
[0:02:14] chakrit44: ดีคับพี่เอส
[0:02:14] robin_nayami: มาไวจัดดด
[0:02:14] terapat_toc: ดีค่าบบบ
[0:02:14] bavgblaze: ดีค้าบ
[0:02:14] ninekung_viu: ดีค้าบบบบบบบบบบบ
[0:02:15] enozent: วันนี้มาไว
[0:02:15] punch_n_: ดีน้าบ
[0:02:16] wanchana_z: สวัสดีครับพี่เอส
[0:02:17] TsukasaNuibi: สวัสดีครับลุง โคตรคิดถึงเรยลุง
[0:02:17] lattapol2548: 35
[0:02:17] jumbokub: ดีค่าบบบบบบ
[0:02:17] suthichai2007: ดี
[0:02:17] edward898: !uptime
[0:02:17] GODJI_kub: ดีครับ
[0:02:17] somphon_janda: ดีคับ
[0:02:18] fffff36655: ดีครับลุง
[0:02:18] pig__sn: ไวเกิน
[0:02:18] mobswen: ดีครับ
