[0:01:27] nook09897833xd: KonCha KonCha KonCha KonCha
[0:01:27] katay_kingkittisack: ดีครับบบบบบ
[0:01:28] aum__19: ฝันดีครับ😜😜😜😜
[0:01:28] prayut_283: ลุงไม่มีเสียง
[0:01:29] Player1_TH: SingsNote
[0:01:30] saswanee_: ดีค้าบ
[0:01:31] danurs: ดีครับลึง
[0:01:32] jgghhn: สวัสดีครัับ KonCha GlitchNRG
[0:01:32] top300000: ดีครับ
[0:01:32] uefaaaa00: สวัสดีครับ
[0:01:32] filmkkyy: ดีครับ
[0:01:33] w__o__r__k: สวัสดีน๊าปป
[0:01:33] ダングスコイ: ดีครับพี่เอส jackey9JackeyDja
[0:01:33] purple_moon_iusupczz: vremon1Lol
[0:01:34] tao_nsc: เสียงหายครับๆ
[0:01:34] nile_j: ดีครับบบลุงงงงง
[0:01:34] hduf123: ดีครับ
[0:01:35] finixnover: สวัสดีครับ
[0:01:36] beam_050: <3 HeyGuys
[0:01:36] rmeos_: ดีครับ ลุงงงงงง
[0:01:36] aeknp123: ดีครับ
[0:01:36] l0xlol: @rachida00 ใครบอก
[0:01:37] edward898: ดีคัย
[0:01:37] mark69z: ดีครับลุง
[0:01:37] Mickies_: สวัสดีครับพี่เอส
[0:01:38] bbenz45: ดีค่าลุงง
[0:01:38] seceth: @purple_moon_iusupczz พี่ซุปสวัสดีน้าบบบ rebirthztvLucas
[0:01:38] gungwan2007: ดีคับลุงงง
[0:01:38] arshiwynternelboy: ดีค้าบบบบ
[0:01:39] peezaxx: หล่อเกิน
[0:01:40] natawat77: สวัสดีคับ
[0:01:40] pack_000: หล่อเกิน
[0:01:41] maxzaz0990: ดีครับ
[0:01:42] samurai_3010: rebirthztvJak rebirthztvJak rebirthztvJak สวัสดีครับ
[0:01:42] phumirin: ดีครับ
[0:01:43] XENIA_XJP: คุณลุงสวัสดีค่ะ
[0:01:45] polecod: ดีงับๆๆๆๆๆๆๆๆๆๆๆรอมา10ปีละ
[0:01:45] PaoPariwat: หวัดดีครับ คนเฒ่า
[0:01:45] babyalone018: ดีย์
[0:01:46] jump111nn: @jijjvf สปอย
[0:01:47] lek_peerapat: สวัสดีครับลุง
[0:01:47] nopparitnopparit: ดีครับ
[0:01:48] purple_moon_iusupczz: @seceth สวัสดีจ้า vremon1Lol
[0:01:48] mon_Teemo: ดีคับ
[0:01:49] naritsara11996: สวัสดีครับพี่
[0:01:49] naMemOuSezi0: สวัสดีค้าบบบ
[0:01:49] bz_remix_official: @jijjvf สปอยเลยนะมาถึง
[0:01:50] bang_nannxy: เสียงเป้นไรหรอคับ
[0:01:50] title_pannatat: ดีคับ
[0:01:50] M4RlkZ: ดีครับลุง
[0:01:50] muay_owo: KonCha
[0:01:51] most1470: HeyGuys สวัสดีครับพี่เอส
[0:01:51] naeng123456: rebirthztvPlease
[0:01:52] bankze2520: ดีครับ
[0:01:52] Anmaiok_: พระเอกนั่งผิงไฟ หล่อจัด
[0:01:53] slpzzzxd: ทรงบอสสสสสสสส
[0:01:53] k0ng_ja: Dค้าบบบบบ
[0:01:55] 0618807331: ไม่ได้ยินเสียงคับบ
[0:01:55] mario_bl0x: rebirthztvOk rebirthztvOk rebirthztvOk
[0:01:56] purple_moon_iusupczz: @re_jak_666 สวัสดีจ้าลี vremon1Hi
[0:01:56] boyezgamer: สวัสดีครับพี่เอส
[0:01:57] baby_sadboy: ดีน้าบบบ
[0:01:58] THIPPLEX: @purple_moon_iusupczz พี่ซุปสวัสดีครับ
[0:01:58] RemoveDoubleXP: สวัดดีครับ ท่านหัวหน้าสมาคม
[0:01:58] IceSaDit: @purple_moon_iusupczz หวัดดีครับพี่
[0:01:58] goodyou12e457: ดีคับ
[0:02:00] firstanim: ดีงับ
[0:02:00] songkan0_0: ดีคับ
[0:02:00] chinawat56: ดีง๊าบ
[0:02:01] nonnyeiei12: ดีฮะ
[0:02:01] century999: ดีคับบ
[0:02:01] prayut_283: NotLikeThis
[0:02:02] keem_m: ดีครับพี่เอส
[0:02:03] maxx9_: ตาแม็คหวัดดีครับ
[0:02:03] yumyum555th: สวัสดีครับ
[0:02:05] nittaya_kup: ดีค้าบบคุณลุง
[0:02:07] klahs999: <3
[0:02:07] bi_kabb: ดีครับ
[0:02:07] beam_050: สวัสดีค่าบบ
[0:02:08] samahusamaha: rebirthztvLove rebirthztvLove rebirthztvLove
[0:02:08] saswanee_: HeyGuys
[0:02:08] witchakon1: หวัดดีสุดหล่อเป็นไงบ้างงงง
[0:02:10] gogo_1234a: ดีครับลุง
[0:02:11] earth_1412: ดีครับ
[0:02:11] katay_kingkittisack: ดีครับบบบพี่เอสสสส
[0:02:11] decha189: มาเล้ว
[0:02:14] peaxnutbutter: หวัดดีค้าบลุงงง
[0:02:14] kzetton: ดีครับลุง
[0:02:15] LUTFEE_47: LUTFEE_47 extended their Tier 1 subscription through October! 
[0:02:15] purple_moon_iusupczz: @thipplex ดีจ้าตั้ม
[0:02:15] naja404: ดีครับบ
[0:02:17] je_naja: สวัสดีครับ
[0:02:18] jakkrit710: สวัสดีครับลุง
[0:02:19] feemno10: ดีคับบบลุง
[0:02:20] 0917238858: ลุงมาวะหวัดดีคับ
[0:02:20] koga_012: ดีงับ
[0:02:20] futaro_22: มาเเล้ววว
[0:02:21] AbsolutelyThz: ดีครับพี่เอส ดีครับทุกคน
[0:02:21] chanon_on: ดีครับพี่เอส
[0:02:21] tgcjuyre: ดีงาบ
[0:02:24] s__mith: ดีครับ
[0:02:25] kajonsak20: ดีครับ
[0:02:25] purple_moon_iusupczz: @icesadit ไอซ์ดีจ้า vremon1Hi
[0:02:26] banknoi9: rebirthztvTadaeng rebirthztvTadaeng rebirthztvTadaeng
[0:02:28] maganta99: ดีครับ
[0:02:28] rabbit_t_: ดีน้าบบ
[0:02:30] Auroraddhhx: ดีค้าบบ
[0:02:31] nonnyeiei12: ทวดแม็กดีครับ
[0:02:31] tawin_ahi_ahi: สวดค ครับลุง
[0:02:31] thatstum_: ดีค้าบ
[0:02:32] nopparitnopparit: ชอบเพลงเมืองมากกก
[0:02:32] gameza38: ดีค้าบบบบบลุงงงงงงงง
[0:02:33] neztdelete: D kupp
[0:02:34] gusnaaaa: ดีคับ
[0:02:35] x131ll: ดีคัาบ
[0:02:35] getgettv: rebirthztvShy rebirthztvShy rebirthztvShy rebirthztvRun rebirthztvRun
[0:02:37] kom202: สวัสดีครับลุง
[0:02:39] phakorn123_: ดีคับบ
[0:02:41] lukchinmujaa: หวัดดีงับบ
[0:02:41] archan_vEn: สวัสดีพี่เอสเเละพี่เเชททุกคนนะครับ
[0:02:41] gatk098: สวัสดีครับลุง
[0:02:42] charcoallele: ดีครับ
[0:02:44] pie_66: ดีคับ
[0:02:45] ii_N_xx: ดีค้าบบ
[0:02:45] purple_moon_iusupczz: rebirthztvBaby
[0:02:45] tyme_fc: ดีครับสุดหล่อ
[0:02:47] ice29931: ResidentSleeper
[0:02:47] poniwt: rebirthztv10สวัสดีครับ
[0:02:47] ailwer12: สวัสดีครับ
