[0:18:04] gundora23: まじか
[0:18:39] ぜうすさぶお: ｗｗｗ
[0:18:53] フンバルト_ヘーデル: ふぅ
[0:18:53] gundora23: ないすばーすと
[0:20:00] kin_nic: dd
[0:20:12] gundora23: まじないす立ち回り
[0:20:15] ぜうすさぶお: ないす
[0:20:15] sakana_tkg: きたーーー
[0:20:26] フンバルト_ヘーデル: 流れが来てるよ
[0:20:35] sakuto3399: 鬼だwwww
[0:20:41] リーヅモ裏裏: wwwwww
[0:20:41] 5n_319: 悪魔の囁きwwwwwww
[0:20:44] zenith_ar: ボス？ww
[0:20:47] sakana_tkg: あー
[0:20:53] ノーシュ: なんの流れも来てないりえるにオールインさせるの鬼すぎｗ
[0:20:53] フンバルト_ヘーデル: あ
[0:20:54] gundora23: また１２
[0:20:59] フンバルト_ヘーデル: 怖いよ
[0:20:59] ぜうすさぶお: やってるｗｗｗ
[0:20:59] しぇぱ3: でたよｗ
[0:21:14] ぜうすさぶお: ｗｗｗｗｗｗｗ
[0:21:15] sabachann123456: www
[0:21:20] zenith_ar: www
[0:21:20] phoenix_desu: www
[0:21:20] リーヅモ裏裏: wwwwww
[0:21:21] さけじゃけ: ｗｗｗｗ
[0:21:30] gundora23: うっわ
[0:21:46] ぜうすさぶお: ｗｗｗｗｗｗ
[0:21:59] zenith_ar: グロいww
[0:22:20] gundora23: きたーーーー
[0:22:21] フンバルト_ヘーデル: おおおおおおお
[0:22:21] ぜうすさぶお: あっつｗｗ
[0:22:23] ソルティー_: つんよ
[0:22:26] sakana_tkg: きたーーーーー
[0:22:32] 5n_319: えっぐい
[0:22:33] ノーシュ: ｗｗｗｗ
[0:22:41] フンバルト_ヘーデル: ざわ…ざわ…
[0:22:41] ぜうすさぶお: たのしそうだなｗ
[0:22:44] りーふぃあん: wwwwwww
[0:22:47] ティーセブン: しっぶ
[0:22:52] gundora23: おおおおお
[0:22:53] ぜうすさぶお: つおｗ
[0:22:57] zenith_ar: おお
[0:23:06] ちゆ亜樹: え？
[0:23:12] gundora23: そうなんだよねぇ
[0:23:13] 5n_319: 沼wwwwwww
[0:23:20] フンバルト_ヘーデル: 引きゃいぃぃ
[0:23:27] ぜうすさぶお: あｗ
[0:23:31] gundora23: ん－
[0:23:34] ティーセブン: しぶいなー
[0:23:47] zenith_ar: www
[0:24:01] ぜうすさぶお: ｗｗｗｗｗｗｗｗｗｗｗ
[0:24:02] フンバルト_ヘーデル: くそがw
[0:24:02] ティーセブン: あ
[0:24:03] 湘南マグナム: ｗｗｗｗ
[0:24:04] Xirilla_: ｗｗｗ
[0:24:06] sabachann123456: ww
[0:24:07] sakana_tkg: あーーーあw
[0:24:13] 野良餃子: あーーーー
[0:24:21] みみっくす: ｗｗｗｗｗｗｗ
[0:24:51] フンバルト_ヘーデル: ギャンブルって怖いねw
[0:24:53] さけじゃけ: どんまいｗ
[0:25:06] ぜうすさぶお: やばｗ
[0:25:08] gundora23: 狂っちゃった
[0:26:12] sakana_tkg: 今からカジノヘイスト？
[0:26:45] しぇぱ3: ｗｗｗｗ
[0:27:48] KABAYAKIGG: うおおおおぉ
[0:27:55] gundora23: ありがとうボス・・・
[0:28:10] ぜうすさぶお: どんだけ金持ってんだ
[0:29:44] gundora23: かわいらしいねぇ
[0:29:44] フンバルト_ヘーデル: かわいいw
[0:29:50] zenith_ar: ww
[0:30:23] gundora23: いけてるー！
[0:31:02] kakerun00: おっとっと
[0:31:24] haveAnero: え
[0:31:32] ナマコ魚雷: マジか‥
[0:32:02] ryusei552266: え
[0:32:05] zenith_ar: すご
[0:32:08] gundora23: ２０か
[0:32:19] harun___55: おお！リエルとの絡みいい！
[0:32:22] kakerun00: 刃牙ちゃんとデートだぇ
[0:32:42] gundora23: ついでにね
[0:32:42] レヴィ99: ww
[0:32:44] atsumori_pop: お金はね？
[0:32:49] sakuto3399: さすがにね？
[0:32:51] pilafu0: ちゃんとケチだえw
[0:32:53] yuutvjivctjn: お金はね
[0:33:02] ルナ67: ケチなのいいな
[0:33:27] maron_b_: お金の貸し借りは身内でも無い方がいいよな
[0:34:14] gundora23: 角刈りの車だったなぁｗ
[0:34:22] gundora23: お
[0:34:24] ナマコ魚雷: チャル先輩かぁ～
[0:34:25] atsumori_pop: これモテます
[0:34:26] zenith_ar: おお
[0:34:26] KABAYAKIGG: 優しすぎる
[0:34:29] ghosthunt98: おお
[0:34:29] zennn36: イケメンだねえ
[0:34:30] あぶりちーず: かっけ〜
[0:34:30] sakuto3399: おおお
[0:34:31] o5_oma: 男前だえ
[0:34:31] ryusei552266: もてるえ
[0:34:33] pilafu0: そして付き合うえ
[0:34:36] sabachann123456: かっこいいえ
[0:34:38] 由笑: わきをとは違ってね
[0:34:39] starline011: さすが天竜人
[0:34:39] yuutvjivctjn: お腹だけじゃないところをみせてやるえ
[0:34:40] らんぱ: わきをとは違うえ
[0:34:41] atsumori_pop: やっぱケチンボわきｗとはちげえや！
[0:34:41] ルナ67: チャル先輩かっこいい
[0:34:41] o5_oma: 刃牙ちゃんルートもできるえ
[0:34:45] kamekichitxt: それでこそ15時だえ
[0:34:47] 0828toitoi: 違いを魅せる男
[0:34:49] pilafu0: サプライズだえ
[0:34:53] にーとろる: わきをは手数料ぜろぉ
[0:34:56] takaaa06: 先輩呼びに気持ち良くなったな？わら
[0:34:59] ueo_213: 心も15時だえ
[0:35:11] yuutvjivctjn: 使ってる
[0:35:14] noko_noko3: 食べたｗ
[0:35:16] ティーセブン: 使用してるー
[0:35:20] ぜうすさぶお: ｗｗｗｗ
[0:35:20] ソルティー_: www
[0:35:23] gundora23: これどうなるの？ｗ
[0:35:37] papapapupepon: ちょっとダサいかw
[0:35:45] o5_oma: せっかくカッコイイのにダサいw
[0:35:57] tokyo_1192: かっこいいのにダサ
[0:36:18] 0828toitoi: 一旦ねw
[0:36:21] atsumori_pop: めっちゃ優しいチャル先
[0:36:46] gundora23: でれなーいｗ
[0:36:48] ぜうすさぶお: ちのまるちゃん
[0:36:54] sakana_tkg: ちのちゃんか
[0:36:59] harun___55: でんのかいwww
[0:37:08] レヴィ99: 手錠されてるとでれない
[0:37:10] gundora23: ファーマー魂
[0:37:13] sakuto3399: ちのちゃんから通話ってどういう
[0:37:14] papapapupepon: 勧誘候補に挙げられてた人か
[0:37:31] atsumori_pop: 餡入りてえって電話って、ｺﾄ!?
[0:37:34] しぇぱ3: 勧誘のことかな？
[0:37:55] sakuto3399: えええ……！？
[0:38:11] gundora23: 安定した収入源
