[0:01:25] ircnjk: ดีครับ
[0:01:25] itawunknown: ดีครับบ
[0:01:26] pu_eiei: สวัสดีคับ
[0:01:26] poonnapapat: ดีน้าบบบบ
[0:01:26] jayjazs: D kubbbbbbb
[0:01:26] wasdwasdxxyz: สวัสดีค้าบลุงงง stayna1Hey
[0:01:27] earth_678: ดีครับบ
[0:01:27] slumboysoyju: ดีครับ
[0:01:27] P_00_M: ดีค้าบบบบ
[0:01:28] do_zox: คิดถึงมากๆ
[0:01:28] ffnawasit: ดีค่าปปป
[0:01:28] alongkorn_gun: สวัสดีคับลุง
[0:01:28] dreamworld27: ดีค้าบลุงง
[0:01:28] amjohn2010: ดีคับ
[0:01:28] arisa_112: 5555555
[0:01:28] Neo_Nicotine: ดีค้าบยบบบ
[0:01:28] sensezf: หวัดดีครับ
[0:01:28] PossibleTH: SeemsGood rebirthztvJak rebirthztvLove
[0:01:28] raphiat47: ดีครับ
[0:01:28] bonkaiaofz: rebirthztvX
[0:01:28] rungxox: ดีค้าบบบบบ
[0:01:28] NoTHiNG_Zz: ดีครับ
[0:01:28] Aofpasin: ดีครับ
[0:01:28] purple_moon_iusupczz: สวัสดีครับพี่เอส
[0:01:29] Dixsan: 5555
[0:01:29] sarxnbxll: ดีค้าบลุง
[0:01:29] taiphobkuku: หวัดดีน้าบ
[0:01:29] chanapolklamta: เย้ๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆ
[0:01:30] soniqzht: ดีคั้บบบ
[0:01:30] punnawitza: ดีครับ
[0:01:30] thanaporn_kub: ดีน้าบบบ
[0:01:31] Gu_GuidE: ดีครับลุงงงง
[0:01:31] thanaphat_52: มาแล้วววว
[0:01:31] mickypok: 1
[0:01:31] autoatipong: ดีคับ
[0:01:31] beam_kheetakan: สวัดดีครับ
[0:01:31] soyampy: ดีครับ
[0:01:31] neverloseqz: ดีค้าบบบ
[0:01:31] chekom123: ดีค้าบยุง
[0:01:31] jackkybhm: หวัดดีค้าบ
[0:01:32] d_dom999999: DคับลุงG
[0:01:32] tinnakornp: ดีค้าบ
[0:01:32] Chusana2547: <3 <3 <3 <3
[0:01:32] dew_dew23: ดีครับ
[0:01:32] anxchxx: ดีค้าบลุง
[0:01:32] TEETANAGI7: ถอดสูท555
[0:01:32] kritsadakosarat: ดีค้าบคุณลุ๊งงงงงงงง
[0:01:32] oporpea: ดีค้าบ
[0:01:32] fourdogz55: ดีครับ
[0:01:33] techin_n: ดีค้าบ
[0:01:33] purple_moon_iusupczz: สวัสดีนะครับทุกคน
[0:01:33] kzetton: ดีครับพี่เอส
[0:01:33] bigmos16killer: d kub lung
[0:01:33] Jallcj: ดีคับ
[0:01:33] GODJI_kub: ดีครับ
[0:01:33] tirapat_: ดีน้าบบบบบ
[0:01:33] gjeigufs: ดีครับ
[0:01:34] chawatjumongmong: ดีครับลุง
[0:01:34] regensy_sxy: ดีครับบบบ
[0:01:34] pumba_pds: ดีครับพี่เอส
[0:01:34] pattamon2648: ดีครับแม็ค DMh
[0:01:35] bank_rock2533: หวัดดีคับ
[0:01:35] nongdisk: ดีค้าบบ
[0:01:35] p_o_o_m_777: ดีครับ
[0:01:35] thanathip1122: ดีครับลุง
[0:01:35] rerunto: ดีครับ
[0:01:35] nui_prasan: ดีค้าบ
[0:01:35] jaakrittyyy: ดีค้าบบบบ
[0:01:35] tattapoleay: ดีครับ
[0:01:35] 0poramet: คิดถึงลุงง
[0:01:35] feawjad: ดีค้าบบบบ
[0:01:35] phayut55: dคั้บ
[0:01:35] tanaponl1500: สวัสดีครับลุง DMH
[0:01:36] passawut1: ดีครับคุณลุง
[0:01:36] kan_77: ดีครับ
[0:01:36] fararukfukefic: คิดถึงฝุดๆ
[0:01:36] nattapatsz: จุ๊ฟมั้วววว
